genome	family	locus	copies	gtdb_taxonomy	phylum	class
GCA_035639595.1	ArchPhaZ_hydrolase	DASQXV010000049.1_2	3	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__RBG-16-68-12 sp035639595	Thermoplasmatota	Thermoplasmata
GCA_035639595.1	ArchPhaZ_hydrolase	DASQXV010000140.1_2	3	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__RBG-16-68-12 sp035639595	Thermoplasmatota	Thermoplasmata
GCA_035639595.1	ArchPhaZ_hydrolase	DASQXV010000151.1_2	3	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__RBG-16-68-12 sp035639595	Thermoplasmatota	Thermoplasmata
GCA_035656275.1	ArchPhaZ_hydrolase	DASRSW010000031.1_28	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp035656275	Thermoplasmatota	Thermoplasmata
GCA_035933635.1	ArchPhaZ_hydrolase	DASYYY010000031.1_196	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__JAKIVR01;s__JAKIVR01 sp035933635	Thermoplasmatota	Thermoplasmata
GCA_035945735.1	ArchPhaZ_hydrolase	DASYZY010000123.1_9	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__JAKIVR01;s__JAKIVR01 sp035945735	Thermoplasmatota	Thermoplasmata
GCA_036003985.1	ArchPhaZ_hydrolase	DASYRW010000244.1_4	1	d__Archaea;p__Thermoplasmatota;c__SW-10-69-26;o__JACQPN01;f__JAIVGT01;g__JAIVGT01;s__JAIVGT01 sp036003985	Thermoplasmatota	SW-10-69-26
GCA_036007995.1	ArchPhaZ_hydrolase	DASYOF010000196.1_7	2	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp036007995	Thermoplasmatota	Thermoplasmata
GCA_036007995.1	ArchPhaZ_hydrolase	DASYOF010000310.1_7	2	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp036007995	Thermoplasmatota	Thermoplasmata
GCA_036393695.1	ArchPhaZ_hydrolase	DASWGO010000088.1_5	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__RBG-16-68-12 sp036393695	Thermoplasmatota	Thermoplasmata
GCA_038851075.1	ArchPhaZ_hydrolase	JAWCLG010000003.1_71	1	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__JAWCKV01;s__JAWCKV01 sp038851075	Hadarchaeota	Hadarchaeia
GCA_038884455.1	ArchPhaZ_hydrolase	JAWABU010000002.1_60	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__JAWABU01;s__JAWABU01 sp038884455	Thermoplasmatota	E2
GCA_041499475.1	ArchPhaZ_hydrolase	JBGQKI010000023.1_33	2	d__Archaea;p__Thermoplasmatota;c__DTKX01;o__DTKX01;f__DATEUP01;g__DATEUP01;s__DATEUP01 sp041499475	Thermoplasmatota	DTKX01
GCA_041499475.1	ArchPhaZ_hydrolase	JBGQKI010000028.1_15	2	d__Archaea;p__Thermoplasmatota;c__DTKX01;o__DTKX01;f__DATEUP01;g__DATEUP01;s__DATEUP01 sp041499475	Thermoplasmatota	DTKX01
GCA_041550515.1	ArchPhaZ_hydrolase	JBFEOQ010000024.1_2	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__PFL35;s__PFL35 sp041550515	Thermoplasmatota	E2
GCA_041566495.1	ArchPhaZ_hydrolase	JBFGSX010000213.1_2	1	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHFTW01;g__JBFGSX01;s__JBFGSX01 sp041566495	Thermoplasmatota	E2
GCA_041624075.1	ArchPhaZ_hydrolase	JBFJVP010000234.1_1	1	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHFTW01;g__JBFJVP01;s__JBFJVP01 sp041624075	Thermoplasmatota	E2
GCA_041659985.1	ArchPhaZ_hydrolase	JBAZXE010000075.1_2	1	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHFTW01;g__JAHFTW01;s__JAHFTW01 sp041659985	Thermoplasmatota	E2
GCA_043806635.1	ArchPhaZ_hydrolase	JAZDGT010000010.1_57	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__JAZDGT01;s__JAZDGT01 sp043806635	Thermoplasmatota	E2
GCA_046485165.1	ArchPhaZ_hydrolase	JAWOHM010000135.1_4	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__SG8-5;f__SG8-5;g__UBA147;s__UBA147 sp046485165	Thermoplasmatota	Thermoplasmata
GCA_046496795.1	ArchPhaZ_hydrolase	JAWOGM010000004.1_7	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__JAUWYM01;s__JAUWYM01 sp046496795	Thermoplasmatota	E2
GCA_046538435.1	ArchPhaZ_hydrolase	JBKHIX010000195.1_1	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Halarchaeoplasmatales;f__Halarchaeoplasmataceae;g__CAYSTL01;s__CAYSTL01 sp046538435	Thermoplasmatota	Thermoplasmata
GCA_046761045.1	ArchPhaZ_hydrolase	JBHIFJ010000011.1_2	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__JAGMCJ01;g__JAGMCJ01;s__JAGMCJ01 sp046761045	Thermoplasmatota	Thermoplasmata
GCA_047617305.1	ArchPhaZ_hydrolase	JBLGCL010000085.1_3	1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__DATFIX01;s__DATFIX01 sp047617305	Halobacteriota	Halobacteria
GCA_048940045.1	ArchPhaZ_hydrolase	JBHLOX010000172.1_1	1	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__SMTZ1-45;s__SMTZ1-45 sp048940045	Asgardarchaeota	Thorarchaeia
GCA_049591535.1	ArchPhaZ_hydrolase	JBAWFC010000078.1_12	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp049591535	Thermoplasmatota	Thermoplasmata
GCA_049800095.1	ArchPhaZ_hydrolase	JBARJD010000044.1_7	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__JAKIWV01;s__JAKIWV01 sp049800095	Thermoplasmatota	Thermoplasmata
GCA_049802875.1	ArchPhaZ_hydrolase	JBARNH010000013.1_12	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp049802875	Thermoplasmatota	Thermoplasmata
GCA_049970895.1	ArchPhaZ_hydrolase	JBMFMB010000008.1_60	1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathycorpusculaceae;g__JAGTQI01;s__JAGTQI01 sp049970895	Thermoproteota	Bathyarchaeia
GCA_050011355.1	ArchPhaZ_hydrolase	JBEKJG010000010.1_52	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp050011355	Thermoplasmatota	Thermoplasmata
GCA_050749465.1	ArchPhaZ_hydrolase	JBOGRO010000003.1_8	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp050749465	Thermoplasmatota	Thermoplasmata
GCA_051747545.1	ArchPhaZ_hydrolase	JBNJGG010000091.1_11	2	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__JBNJGG01;s__JBNJGG01 sp051747545	Halobacteriota	Halobacteria
GCA_051747545.1	ArchPhaZ_hydrolase	JBNJGG010000173.1_1	2	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__JBNJGG01;s__JBNJGG01 sp051747545	Halobacteriota	Halobacteria
GCA_052315415.1	ArchPhaZ_hydrolase	JBLSDH010000026.1_12	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Cuniculiplasma;s__Cuniculiplasma sp052315415	Thermoplasmatota	Thermoplasmata
GCA_902385635.1	ArchPhaZ_hydrolase	CABMGN010000004.1_33	1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Pacearchaeales;f__GW2011-AR1;g__CABMGN01;s__CABMGN01 sp902385635	Nanobdellota	Nanobdellia
GCA_902531985.1	ArchPhaZ_hydrolase	CACAGG010000006.1_5	1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__MGIII;f__CG-Epi1;g__CG-Epi1;s__CG-Epi1 sp902531985	Thermoplasmatota	Poseidoniia
GCA_902627615.1	ArchPhaZ_hydrolase	CACOJW010000004.1_84	1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__MGIII;f__CG-Epi1;g__CG-Epi1;s__CG-Epi1 sp902627615	Thermoplasmatota	Poseidoniia
GCA_937142015.1	ArchPhaZ_hydrolase	CAKZQY010000148.1_8	1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__JAHENP01;s__JAHENP01 sp937142015	Halobacteriota	Halobacteria
GCA_938004075.1	ArchPhaZ_hydrolase	CALKWP010000094.1_4	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__SG8-5;f__SG8-5;g__UBA147;s__UBA147 sp938004075	Thermoplasmatota	Thermoplasmata
GCA_963578705.1	ArchPhaZ_hydrolase	CAUZDT010000016.1_9	1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__MGIII;f__CG-Epi1;g__UBA8886;s__UBA8886 sp963578705	Thermoplasmatota	Poseidoniia
GCA_963708255.1	ArchPhaZ_hydrolase	CAVPSE010000005.1_75	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp963708255	Thermoplasmatota	Thermoplasmata
GCA_963764995.1	ArchPhaZ_hydrolase	CAVXUJ010000012.1_194	1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix sp963764995	Halobacteriota	Methanosarcinia
GCA_963804525.1	ArchPhaZ_hydrolase	CAWDQO010000002.1_170	2	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp963804525	Thermoplasmatota	Thermoplasmata
GCA_963804525.1	ArchPhaZ_hydrolase	CAWDQO010000005.1_115	2	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp963804525	Thermoplasmatota	Thermoplasmata
GCA_963809105.1	ArchPhaZ_hydrolase	CAWEIC010000001.1_243	1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__CAIKOD01;s__CAIKOD01 sp963809105	Halobacteriota	Methanomicrobia
GCA_963828315.1	ArchPhaZ_hydrolase	CAWHEC010000012.1_15	1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__UBA9949;s__UBA9949 sp963828315	Halobacteriota	Methanomicrobia
GCA_963996465.1	ArchPhaZ_hydrolase	CAXEHI010000033.1_1	1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__MGIII;f__CG-Epi1;g__UBA102;s__UBA102 sp002509225	Thermoplasmatota	Poseidoniia
GCA_964015055.1	ArchPhaZ_hydrolase	CAXHBG010000022.1_13	1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__MGIII;f__CG-Epi1;g__CG-Epi1;s__CG-Epi1 sp964015055	Thermoplasmatota	Poseidoniia
GCA_964342815.1	ArchPhaZ_hydrolase	CAYFHS010000019.1_37	2	d__Archaea;p__Thermoplasmatota;c__Penumbrarchaeia;o__JASLWR01;f__JASLWR01;g__JASLWR01;s__JASLWR01 sp964342815	Thermoplasmatota	Penumbrarchaeia
GCA_964342815.1	ArchPhaZ_hydrolase	CAYFHS010000022.1_9	2	d__Archaea;p__Thermoplasmatota;c__Penumbrarchaeia;o__JASLWR01;f__JASLWR01;g__JASLWR01;s__JASLWR01 sp964342815	Thermoplasmatota	Penumbrarchaeia
GCA_964347145.1	ArchPhaZ_hydrolase	CAYFXU010000001.1_25	2	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathyarchaeaceae;g__CAYFXU01;s__CAYFXU01 sp964347145	Thermoproteota	Bathyarchaeia
GCA_964347145.1	ArchPhaZ_hydrolase	CAYFXU010000006.1_4	2	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathyarchaeaceae;g__CAYFXU01;s__CAYFXU01 sp964347145	Thermoproteota	Bathyarchaeia
GCA_964347865.1	ArchPhaZ_hydrolase	CAYGAC010000086.1_10	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__JAGLML01;s__JAGLML01 sp964347865	Thermoplasmatota	E2
GCA_964353355.1	ArchPhaZ_hydrolase	CAYGVT010000014.1_21	2	d__Archaea;p__Thermoplasmatota;c__DTKX01;o__DTKX01;f__GCA-020343715;g__CAYGVT01;s__CAYGVT01 sp964353355	Thermoplasmatota	DTKX01
GCA_964353355.1	ArchPhaZ_hydrolase	CAYGVT010000035.1_2	2	d__Archaea;p__Thermoplasmatota;c__DTKX01;o__DTKX01;f__GCA-020343715;g__CAYGVT01;s__CAYGVT01 sp964353355	Thermoplasmatota	DTKX01
GCA_964354055.1	ArchPhaZ_hydrolase	CAYGYI010000128.1_4	1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathycorpusculaceae;g__DATKKK01;s__DATKKK01 sp964354055	Thermoproteota	Bathyarchaeia
GCA_964373095.1	ArchPhaZ_hydrolase	CAYJSR010000007.1_16	1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__SCGC-AAA011-G17;f__GW2011-AR18;g__CAYJSR01;s__CAYJSR01 sp964373095	Nanobdellota	Nanobdellia
GCA_964384785.1	ArchPhaZ_hydrolase	CAYLLH010000110.1_5	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__JAZKSG01;s__JAZKSG01 sp964384785	Thermoplasmatota	E2
GCA_964385215.1	ArchPhaZ_hydrolase	CAYLOF010000166.1_3	2	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__DAOWHD01;s__DAOWHD01 sp964385215	Thermoplasmatota	E2
GCA_964385215.1	ArchPhaZ_hydrolase	CAYLOF010000217.1_4	2	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__DAOWHD01;s__DAOWHD01 sp964385215	Thermoplasmatota	E2
GCA_964386655.1	ArchPhaZ_hydrolase	CAYLSJ010000044.1_4	1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathyarchaeaceae;g__DATETJ01;s__DATETJ01 sp964386655	Thermoproteota	Bathyarchaeia
GCA_964394465.1	ArchPhaZ_hydrolase	CAYMXS010000037.1_1	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Halarchaeoplasmatales;f__Halarchaeoplasmataceae;g__CAYMXS01;s__CAYMXS01 sp964394465	Thermoplasmatota	Thermoplasmata
GCA_964406955.1	ArchPhaZ_hydrolase	CAYOTP010000042.1_11	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__EX4572-165;s__EX4572-165 sp964406955	Thermoplasmatota	E2
GCA_964410735.1	ArchPhaZ_hydrolase	CAYPIF010000038.1_6	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__EX4572-165;s__EX4572-165 sp964410735	Thermoplasmatota	E2
GCA_964422605.1	ArchPhaZ_hydrolase	CAYRBK010000001.1_20	1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__DTEX01;g__CAYRBK01;s__CAYRBK01 sp964422605	Thermoproteota	Bathyarchaeia
GCA_964430885.1	ArchPhaZ_hydrolase	CAYSHM010000001.1_15	1	d__Archaea;p__Thermoplasmatota;c__Penumbrarchaeia;o__JASLWR01;f__JASLWR01;g__CAYSHM01;s__CAYSHM01 sp964430885	Thermoplasmatota	Penumbrarchaeia
GCA_964434005.1	ArchPhaZ_hydrolase	CAYSSW010000004.1_5	1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum sp964434005	Halobacteriota	Methanomicrobia
GCA_964464425.1	ArchPhaZ_hydrolase	CAYXGD010000050.1_9	1	d__Archaea;p__Thermoplasmatota;c__SW-10-69-26;o__SW-10-69-26;f__SW-10-69-26;g__CAYXGD01;s__CAYXGD01 sp964464425	Thermoplasmatota	SW-10-69-26
GCA_964473335.1	ArchPhaZ_hydrolase	CAYYOO010000001.1_4	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__CAYZTD01;s__CAYZTD01 sp964473335	Thermoplasmatota	E2
GCA_964477945.1	ArchPhaZ_hydrolase	CAYZGA010000001.1_9	1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halovenus;s__Halovenus sp964477945	Halobacteriota	Halobacteria
GCA_964495775.1	ArchPhaZ_hydrolase	CAZBXJ010000062.1_3	1	d__Archaea;p__Thermoplasmatota;c__E2;o__UBA202;f__JdFR-43;g__JAPDJP01;s__JAPDJP01 sp964495775	Thermoplasmatota	E2
GCA_964498825.1	ArchPhaZ_hydrolase	CAZCKG010000009.1_16	1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp964498825	Halobacteriota	Methanosarcinia
GCA_964499875.1	ArchPhaZ_hydrolase	CAZCPZ010000186.1_3	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__B44-G15;s__B44-G15 sp964499875	Thermoplasmatota	E2
GCA_964518035.1	ArchPhaZ_hydrolase	CAZFFD010000028.1_25	1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix sp964518035	Halobacteriota	Methanosarcinia
GCA_964518165.1	ArchPhaZ_hydrolase	CAZFFN010000086.1_6	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__CAYZTD01;s__CAYZTD01 sp964518165	Thermoplasmatota	E2
GCA_964520335.1	ArchPhaZ_hydrolase	CAZFNE010000257.1_1	1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp964520335	Halobacteriota	Methanosarcinia
GCA_964530745.1	ArchPhaZ_hydrolase	CAZHBO010000119.1_1	1	d__Archaea;p__Thermoplasmatota;c__E2;o__UBA202;f__DSCA01;g__CAZHBO01;s__CAZHBO01 sp964530745	Thermoplasmatota	E2
GCA_964533085.1	ArchPhaZ_hydrolase	CAZHIY010000161.1_2	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__SG8-52-3;s__SG8-52-3 sp964533085	Thermoplasmatota	E2
GCA_964548665.1	ArchPhaZ_hydrolase	CAZJQL010000001.1_151	1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__21-14-0-10-32-9;g__21-14-0-10-32-9;s__21-14-0-10-32-9 sp964548665	Nanobdellota	Nanobdellia
GCA_964555835.1	ArchPhaZ_hydrolase	CAZKUB010000189.1_18	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__CAZKUB01;s__CAZKUB01 sp964555835	Thermoplasmatota	E2
GCA_964585175.1	ArchPhaZ_hydrolase	CAZPCW010000008.1_8	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Halarchaeoplasmatales;f__Halarchaeoplasmataceae;g__Natronoplasma;s__Natronoplasma sp964585175	Thermoplasmatota	Thermoplasmata
GCA_964592335.1	ArchPhaZ_hydrolase	CAZQEU010000026.1_2	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__CAZKUB01;s__CAZKUB01 sp964592335	Thermoplasmatota	E2
GCA_964594475.1	ArchPhaZ_hydrolase	CAZQMI010000024.1_11	2	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__EX4572-165;s__EX4572-165 sp964594475	Thermoplasmatota	E2
GCA_964594475.1	ArchPhaZ_hydrolase	CAZQMI010000047.1_6	2	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__EX4572-165;s__EX4572-165 sp964594475	Thermoplasmatota	E2
GCA_964596255.1	ArchPhaZ_hydrolase	CAZQTT010000076.1_13	1	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__JdFR-22;s__JdFR-22 sp964596255	Halobacteriota	Archaeoglobi
GCA_964605795.1	ArchPhaZ_hydrolase	CAZSDZ010000001.1_137	1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__JAFGOM01;s__JAFGOM01 sp964605795	Halobacteriota	Methanomicrobia
GCA_964609045.1	ArchPhaZ_hydrolase	CAZSUE010000077.1_4	1	d__Archaea;p__Thermoplasmatota;c__Penumbrarchaeia;o__CAZSUE01;f__CAZSUE01;g__CAZSUE01;s__CAZSUE01 sp964609045	Thermoplasmatota	Penumbrarchaeia
GCA_964615235.1	ArchPhaZ_hydrolase	CAZTMK010000033.1_12	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__JAFGPP01;s__JAFGPP01 sp964615235	Thermoplasmatota	E2
GCA_964618505.1	ArchPhaZ_hydrolase	CAZUBH010000008.1_77	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__CAZUBH01;s__CAZUBH01 sp964618505	Thermoplasmatota	E2
GCA_964627915.1	ArchPhaZ_hydrolase	CAZVKY010000003.1_29	2	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__EX4572-165;s__EX4572-165 sp964627915	Thermoplasmatota	E2
GCA_964627915.1	ArchPhaZ_hydrolase	CAZVKY010000086.1_5	2	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__EX4572-165;s__EX4572-165 sp964627915	Thermoplasmatota	E2
GCA_964628765.1	ArchPhaZ_hydrolase	CAZVMT010000180.1_4	1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__RBG-16-57-9;s__RBG-16-57-9 sp964628765	Thermoproteota	Bathyarchaeia
GCA_964636235.1	ArchPhaZ_hydrolase	CAZWQV010000092.1_2	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__EX4572-165;s__EX4572-165 sp964636235	Thermoplasmatota	E2
GCA_964638155.1	ArchPhaZ_hydrolase	CAZWYI010000003.1_33	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__CAYZTD01;s__CAYZTD01 sp964638155	Thermoplasmatota	E2
GCA_964640555.1	ArchPhaZ_hydrolase	CAZXHI010000045.1_13	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__JAUWWG01;s__JAUWWG01 sp964640555	Thermoplasmatota	E2
GCA_964647775.1	ArchPhaZ_hydrolase	CAZYJH010000013.1_8	1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathyarchaeaceae;g__Bathyarchaeum;s__Bathyarchaeum sp964647775	Thermoproteota	Bathyarchaeia
GCA_965195165.1	ArchPhaZ_hydrolase	CBDAFH010000043.1_2	1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanogasteraceae;g__Methanogaster_A;s__Methanogaster_A sp965195165	Halobacteriota	Methanosarcinia
GCA_965372445.1	ArchPhaZ_hydrolase	CBDVCJ010000275.1_3	1	d__Archaea;p__Thermoplasmatota;c__Penumbrarchaeia;o__JAEHCK01;f__CBDVCJ01;g__CBDVCJ01;s__CBDVCJ01 sp965372445	Thermoplasmatota	Penumbrarchaeia
GCF_000243255.1	ArchPhaZ_hydrolase	NZ_CM001436.1_2947	1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoplanus;s__Methanoplanus limicola	Halobacteriota	Methanomicrobia
GCF_000336915.1	ArchPhaZ_hydrolase	NZ_AOMD01000005.1_80	1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus saccharolyticus	Halobacteriota	Halobacteria
GCF_000337175.1	ArchPhaZ_hydrolase	NZ_AOIJ01000048.1_31	1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrinema;s__Natrinema gari	Halobacteriota	Halobacteria
GCF_000337615.1	ArchPhaZ_hydrolase	NZ_AOII01000014.1_19	1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrinema;s__Natrinema pallidum	Halobacteriota	Halobacteria
GCF_000969985.1	ArchPhaZ_hydrolase	NZ_CP009526.1_3491	1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina barkeri_B	Halobacteriota	Methanosarcinia
GCF_000970045.1	ArchPhaZ_hydrolase	NZ_CP009505.1_2902	1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__MTP4;s__MTP4 sp000970045	Halobacteriota	Methanosarcinia
GCF_002287235.1	ArchPhaZ_hydrolase	NZ_LMVP01000025.1_2	1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina spelaei	Halobacteriota	Methanosarcinia
GCF_007004735.1	ArchPhaZ_hydrolase	NZ_SSNL01000006.1_52	1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Salinigranum;s__Salinigranum halophilum	Halobacteriota	Halobacteria
