genome	contig	hit_locus	hit_family	start	end	strand	nearby_markers
GCA_028274885.1	JAQCMX010000143.1	JAQCMX010000143.1_1	ArchPhaZ_patatin	10	975	-	BdhA
GCA_028274925.1	JAQCNR010000459.1	JAQCNR010000459.1_2	ArchPhaZ_patatin	336	1304	-	BdhA
GCA_028275005.1	JAQCNN010000026.1	JAQCNN010000026.1_2	ArchPhaZ_patatin	1142	2197	-	BdhA
GCA_028275145.1	JAQCNG010000180.1	JAQCNG010000180.1_2	ArchPhaZ_patatin	1046	2011	-	BdhA
GCA_028580875.1	JAJSDS010000261.1	JAJSDS010000261.1_4	ArchPhaZ_patatin	998	1657	-	
GCA_028580875.1	JAJSDS010000031.1	JAJSDS010000031.1_1	ArchPhaZ_patatin	2	886	-	PhaC;PhaE
GCA_028580875.1	JAJSDS010000003.1	JAJSDS010000003.1_27	ArchPhaZ_patatin	18306	19391	+	
GCA_028580875.1	JAJSDS010000044.1	JAJSDS010000044.1_12	ArchPhaZ_patatin	10116	11240	-	
GCA_028751055.1	JAQZDD010000066.1	JAQZDD010000066.1_3	ArchPhaZ_patatin	1757	2767	-	BdhA
GCA_028751055.1	JAQZDD010000310.1	JAQZDD010000310.1_2	ArchPhaZ_patatin	654	1679	-	
GCA_028751075.1	JAQZDA010000013.1	JAQZDA010000013.1_15	ArchPhaZ_patatin	13739	14707	+	BdhA
GCA_028866655.1	JAGWHQ010000013.1	JAGWHQ010000013.1_19	ArchPhaZ_patatin	13053	14132	-	PhaC;PhaE
GCA_028866895.1	JAGWHF010000002.1	JAGWHF010000002.1_26	ArchPhaZ_patatin	21119	22213	-	PhaC;PhaE
GCA_028867235.1	JAGWGS010000127.1	JAGWGS010000127.1_2	ArchPhaZ_patatin	366	1445	+	
GCA_028867275.1	JAGWGU010000002.1	JAGWGU010000002.1_119	ArchPhaZ_patatin	91532	92614	+	PhaC;PhaE
GCA_028867275.1	JAGWGU010000004.1	JAGWGU010000004.1_26	ArchPhaZ_patatin	18781	19854	+	PhaC
GCA_028867395.1	JAGWGO010000271.1	JAGWGO010000271.1_2	ArchPhaZ_patatin	434	1525	-	
GCA_028867595.1	JAGWGB010000028.1	JAGWGB010000028.1_14	ArchPhaZ_patatin	9444	10343	-	
GCA_028867595.1	JAGWGB010000004.1	JAGWGB010000004.1_65	ArchPhaZ_patatin	53344	54435	-	PhaC;PhaE
GCA_028867615.1	JAGWGC010000020.1	JAGWGC010000020.1_8	ArchPhaZ_patatin	4777	5853	+	PhaC;PhaE
GCA_028867675.1	JAGWGA010000008.1	JAGWGA010000008.1_23	ArchPhaZ_patatin	14614	15702	-	PhaC;PhaE
GCA_028867735.1	JAGWFW010000003.1	JAGWFW010000003.1_6	ArchPhaZ_patatin	3145	4236	-	PhaC;PhaE
GCA_028867735.1	JAGWFW010000009.1	JAGWFW010000009.1_25	ArchPhaZ_patatin	16702	17796	-	
GCA_028867755.1	JAGWFT010000001.1	JAGWFT010000001.1_1375	ArchPhaZ_patatin	1231253	1232353	+	PhaC;PhaE
GCA_028867785.1	JAGWFS010000002.1	JAGWFS010000002.1_74	ArchPhaZ_patatin	61958	63049	-	PhaC;PhaE
GCA_028867785.1	JAGWFS010000003.1	JAGWFS010000003.1_94	ArchPhaZ_patatin	72488	73636	+	
GCA_028867785.1	JAGWFS010000003.1	JAGWFS010000003.1_150	ArchPhaZ_patatin	114135	115223	-	
GCA_029194465.1	JARFXS010000014.1	JARFXS010000014.1_25	ArchPhaZ_patatin	24159	25388	+	
GCA_029194465.1	JARFXS010000021.1	JARFXS010000021.1_34	ArchPhaZ_patatin	33104	33757	-	
GCA_029194465.1	JARFXS010000021.1	JARFXS010000021.1_35	ArchPhaZ_patatin	33847	34545	-	
GCA_029194465.1	JARFXS010000022.1	JARFXS010000022.1_42	ArchPhaZ_patatin	35625	36692	-	
GCA_029194465.1	JARFXS010000033.1	JARFXS010000033.1_12	ArchPhaZ_patatin	13323	14783	+	BdhA
GCA_029194465.1	JARFXS010000034.1	JARFXS010000034.1_3	ArchPhaZ_patatin	2164	3594	-	
GCA_029194465.1	JARFXS010000037.1	JARFXS010000037.1_26	ArchPhaZ_patatin	24250	25470	-	
GCA_029194465.1	JARFXS010000046.1	JARFXS010000046.1_8	ArchPhaZ_patatin	6208	7605	-	
GCA_029194465.1	JARFXS010000231.1	JARFXS010000231.1_2	ArchPhaZ_patatin	301	1143	-	
GCA_029194465.1	JARFXS010000005.1	JARFXS010000005.1_85	ArchPhaZ_patatin	74443	75333	+	
GCA_029237505.1	JARBAW010000113.1	JARBAW010000113.1_9	ArchPhaZ_patatin	7675	8862	-	
GCA_029237515.1	JARBAV010000499.1	JARBAV010000499.1_3	ArchPhaZ_patatin	2584	3876	+	
GCA_029237515.1	JARBAV010000134.1	JARBAV010000134.1_2	ArchPhaZ_patatin	1541	2704	-	
GCA_029237515.1	JARBAV010000148.1	JARBAV010000148.1_2	ArchPhaZ_patatin	364	1764	+	
GCA_029237515.1	JARBAV010000179.1	JARBAV010000179.1_6	ArchPhaZ_patatin	5021	6478	-	
GCA_029237515.1	JARBAV010000304.1	JARBAV010000304.1_3	ArchPhaZ_patatin	3483	4727	+	
GCA_029240435.1	JAREAI010000266.1	JAREAI010000266.1_2	ArchPhaZ_patatin	670	2163	-	
GCA_029240435.1	JAREAI010000103.1	JAREAI010000103.1_8	ArchPhaZ_patatin	6500	7690	-	
GCA_029240435.1	JAREAI010000105.1	JAREAI010000105.1_7	ArchPhaZ_patatin	6124	7527	-	
GCA_029240435.1	JAREAI010000122.1	JAREAI010000122.1_4	ArchPhaZ_patatin	1686	2921	+	
GCA_029240435.1	JAREAI010000243.1	JAREAI010000243.1_5	ArchPhaZ_patatin	2677	4056	+	
GCA_029263715.1	JAJUFP010000004.1	JAJUFP010000004.1_69	ArchPhaZ_patatin	61515	62726	+	
GCA_029263715.1	JAJUFP010000008.1	JAJUFP010000008.1_80	ArchPhaZ_patatin	59178	60263	+	BdhA
GCA_029688825.1	JARUKX010000005.1	JARUKX010000005.1_132	ArchPhaZ_patatin	120508	121473	+	
GCA_029850515.1	JARCRW010000048.1	JARCRW010000048.1_18	ArchPhaZ_patatin	12044	13120	+	PhaC;PhaE
GCA_029850515.1	JARCRW010000081.1	JARCRW010000081.1_13	ArchPhaZ_patatin	8752	9825	+	
GCA_029861345.1	JAOTZM010000017.1	JAOTZM010000017.1_19	ArchPhaZ_patatin	13615	14946	+	
GCA_029861785.1	JAOTYR010000022.1	JAOTYR010000022.1_9	ArchPhaZ_patatin	6131	7624	+	
GCA_029861785.1	JAOTYR010000119.1	JAOTYR010000119.1_1	ArchPhaZ_patatin	2	1195	+	
GCA_029864335.1	JAOTTS010000010.1	JAOTTS010000010.1_58	ArchPhaZ_patatin	46611	48026	-	
GCA_030038445.1	JASHOW010000015.1	JASHOW010000015.1_3	ArchPhaZ_patatin	699	1793	+	PhaC;PhaE
GCA_030038695.1	JASHSN010000459.1	JASHSN010000459.1_2	ArchPhaZ_patatin	929	2104	+	
GCA_030038695.1	JASHSN010000461.1	JASHSN010000461.1_7	ArchPhaZ_patatin	8710	10179	-	
GCA_030038695.1	JASHSN010000062.1	JASHSN010000062.1_1	ArchPhaZ_patatin	2	628	+	
GCA_030038695.1	JASHSN010000626.1	JASHSN010000626.1_8	ArchPhaZ_patatin	3784	5241	-	
GCA_030038695.1	JASHSN010000089.1	JASHSN010000089.1_5	ArchPhaZ_patatin	2685	3458	+	
GCA_030038695.1	JASHSN010000297.1	JASHSN010000297.1_6	ArchPhaZ_patatin	4714	6111	+	
GCA_030038695.1	JASHSN010000384.1	JASHSN010000384.1_5	ArchPhaZ_patatin	5132	6157	-	
GCA_030038695.1	JASHSN010000397.1	JASHSN010000397.1_2	ArchPhaZ_patatin	1180	2355	+	
GCA_030038695.1	JASHSN010000442.1	JASHSN010000442.1_2	ArchPhaZ_patatin	194	1066	-	
GCA_030041535.1	JASHNR010000036.1	JASHNR010000036.1_56	ArchPhaZ_patatin	44714	45814	-	PhaC;PhaE
GCA_030452275.1	JAKDMR010000162.1	JAKDMR010000162.1_1	ArchPhaZ_patatin	233	1426	-	
GCA_030452275.1	JAKDMR010000219.1	JAKDMR010000219.1_4	ArchPhaZ_patatin	3446	4435	+	
GCA_030452275.1	JAKDMR010000285.1	JAKDMR010000285.1_2	ArchPhaZ_patatin	1194	2495	-	
GCA_030452275.1	JAKDMR010000032.1	JAKDMR010000032.1_6	ArchPhaZ_patatin	6212	7669	+	
GCA_030452275.1	JAKDMR010000049.1	JAKDMR010000049.1_6	ArchPhaZ_patatin	5391	6596	+	
GCA_030452275.1	JAKDMR010000049.1	JAKDMR010000049.1_9	ArchPhaZ_patatin	9194	10036	-	
GCA_030452275.1	JAKDMR010000559.1	JAKDMR010000559.1_2	ArchPhaZ_patatin	827	1954	-	
GCA_030452275.1	JAKDMR010000079.1	JAKDMR010000079.1_10	ArchPhaZ_patatin	6208	6909	+	
GCA_030452275.1	JAKDMR010000080.1	JAKDMR010000080.1_2	ArchPhaZ_patatin	517	1758	-	
GCA_030452275.1	JAKDMR010000098.1	JAKDMR010000098.1_8	ArchPhaZ_patatin	5653	6873	+	
GCA_030452275.1	JAKDMR010000099.1	JAKDMR010000099.1_1	ArchPhaZ_patatin	140	1375	-	
GCA_030452275.1	JAKDMR010000099.1	JAKDMR010000099.1_5	ArchPhaZ_patatin	4183	5382	+	
GCA_030452275.1	JAKDMR010000693.1	JAKDMR010000693.1_3	ArchPhaZ_patatin	593	1435	-	
GCA_030611185.1	JAUWQG010000159.1	JAUWQG010000159.1_3	ArchPhaZ_patatin	916	2313	+	
GCA_030774295.1	JALYLJ010000136.1	JALYLJ010000136.1_36	ArchPhaZ_patatin	28233	29414	+	
GCA_030776915.1	JALYGW010000011.1	JALYGW010000011.1_5	ArchPhaZ_patatin	5785	6957	+	
GCA_030776915.1	JALYGW010000158.1	JALYGW010000158.1_2	ArchPhaZ_patatin	1605	2993	+	
GCA_030776915.1	JALYGW010000203.1	JALYGW010000203.1_6	ArchPhaZ_patatin	5006	6184	+	
GCA_030861105.1	JALZGI010000011.1	JALZGI010000011.1_23	ArchPhaZ_patatin	20752	22002	+	
GCA_030861105.1	JALZGI010000329.1	JALZGI010000329.1_2	ArchPhaZ_patatin	1217	2416	-	PhaJ
GCA_030861105.1	JALZGI010000031.1	JALZGI010000031.1_4	ArchPhaZ_patatin	1585	3069	+	
GCA_030861545.1	JALZFN010000016.1	JALZFN010000016.1_4	ArchPhaZ_patatin	2294	3475	+	
GCA_030913755.1	JALZOS010000102.1	JALZOS010000102.1_5	ArchPhaZ_patatin	4247	5578	+	
GCA_031177355.1	JAPSGR010000010.1	JAPSGR010000010.1_45	ArchPhaZ_patatin	45371	46597	+	BdhA
GCA_031177355.1	JAPSGR010000023.1	JAPSGR010000023.1_15	ArchPhaZ_patatin	14936	16354	-	
GCA_031177355.1	JAPSGR010000024.1	JAPSGR010000024.1_21	ArchPhaZ_patatin	22629	23897	-	
GCA_031296345.1	JARLFW010000107.1	JARLFW010000107.1_32	ArchPhaZ_patatin	21618	22691	-	PhaC;PhaE
GCA_031296345.1	JARLFW010000013.1	JARLFW010000013.1_4	ArchPhaZ_patatin	1509	2978	+	
GCA_031316115.1	JALDRC010000005.1	JALDRC010000005.1_262	ArchPhaZ_patatin	280135	281304	+	
GCA_031316115.1	JALDRC010000006.1	JALDRC010000006.1_14	ArchPhaZ_patatin	13591	14754	+	
GCA_031316115.1	JALDRC010000006.1	JALDRC010000006.1_62	ArchPhaZ_patatin	70661	71944	-	BdhA
GCA_032155045.1	JALDXL010000083.1	JALDXL010000083.1_9	ArchPhaZ_patatin	5749	6978	-	
GCA_032155045.1	JALDXL010000119.1	JALDXL010000119.1_4	ArchPhaZ_patatin	3913	4764	+	
GCA_032155045.1	JALDXL010000175.1	JALDXL010000175.1_3	ArchPhaZ_patatin	2599	3783	-	
GCA_032155045.1	JALDXL010000182.1	JALDXL010000182.1_4	ArchPhaZ_patatin	3491	4972	+	
GCA_032155045.1	JALDXL010000188.1	JALDXL010000188.1_2	ArchPhaZ_patatin	338	1516	-	
GCA_032155045.1	JALDXL010000300.1	JALDXL010000300.1_2	ArchPhaZ_patatin	1233	2687	-	
GCA_033272285.1	JASKBU010000028.1	JASKBU010000028.1_9	ArchPhaZ_patatin	5463	6758	-	BdhA
GCA_033272285.1	JASKBU010000093.1	JASKBU010000093.1_8	ArchPhaZ_patatin	8838	10307	-	
GCA_033272285.1	JASKBU010000096.1	JASKBU010000096.1_132	ArchPhaZ_patatin	113719	114900	-	
GCA_033853455.1	JAWOLM010000055.1	JAWOLM010000055.1_6	ArchPhaZ_patatin	3159	4250	-	PhaC;PhaE
GCA_033854095.1	JAWOKW010000401.1	JAWOKW010000401.1_11	ArchPhaZ_patatin	8705	9757	+	
GCA_034190395.1	JAXINS010000129.1	JAXINS010000129.1_11	ArchPhaZ_patatin	8368	9342	+	BdhA
GCA_034522195.1	JAXHLL010000006.1	JAXHLL010000006.1_440	ArchPhaZ_patatin	399258	400292	+	
GCA_035250685.1	DATFEX010000039.1	DATFEX010000039.1_7	ArchPhaZ_patatin	4866	6059	+	
GCA_035250975.1	DATFEP010000064.1	DATFEP010000064.1_99	ArchPhaZ_patatin	95580	96275	+	
GCA_035250975.1	DATFEP010000036.1	DATFEP010000036.1_6	ArchPhaZ_patatin	3615	4706	+	
GCA_035250975.1	DATFEP010000087.1	DATFEP010000087.1_1	ArchPhaZ_patatin	204	1646	+	
GCA_035250975.1	DATFEP010000066.1	DATFEP010000066.1_83	ArchPhaZ_patatin	74102	75379	+	
GCA_035250975.1	DATFEP010000047.1	DATFEP010000047.1_20	ArchPhaZ_patatin	26703	27893	+	
GCA_035252175.1	DATFDI010000008.1	DATFDI010000008.1_8	ArchPhaZ_patatin	5625	6905	+	
GCA_035252175.1	DATFDI010000052.1	DATFDI010000052.1_83	ArchPhaZ_patatin	75190	76395	+	
GCA_035252175.1	DATFDI010000064.1	DATFDI010000064.1_1	ArchPhaZ_patatin	750	2030	-	
GCA_035252175.1	DATFDI010000113.1	DATFDI010000113.1_12	ArchPhaZ_patatin	10004	10846	-	
GCA_035252445.1	DATFDB010000133.1	DATFDB010000133.1_8	ArchPhaZ_patatin	5184	6275	+	
GCA_035252645.1	DATFCV010000057.1	DATFCV010000057.1_71	ArchPhaZ_patatin	61181	62269	-	PhaC;PhaE
GCA_035253045.1	DATFCN010000012.1	DATFCN010000012.1_2	ArchPhaZ_patatin	1457	2899	+	BdhA
GCA_035253345.1	DATFCH010000012.1	DATFCH010000012.1_2	ArchPhaZ_patatin	1425	2525	+	
GCA_035253345.1	DATFCH010000033.1	DATFCH010000033.1_2	ArchPhaZ_patatin	867	1574	+	
GCA_035253345.1	DATFCH010000156.1	DATFCH010000156.1_1	ArchPhaZ_patatin	3	1103	-	
GCA_035253345.1	DATFCH010000244.1	DATFCH010000244.1_2	ArchPhaZ_patatin	1254	2312	-	
GCA_035253345.1	DATFCH010000310.1	DATFCH010000310.1_4	ArchPhaZ_patatin	2544	3758	+	
GCA_035253345.1	DATFCH010000378.1	DATFCH010000378.1_8	ArchPhaZ_patatin	5738	6925	-	
GCA_035253345.1	DATFCH010000513.1	DATFCH010000513.1_6	ArchPhaZ_patatin	5403	6632	+	
GCA_035253605.1	DATFBV010000032.1	DATFBV010000032.1_2	ArchPhaZ_patatin	766	2157	+	
GCA_035253605.1	DATFBV010000041.1	DATFBV010000041.1_7	ArchPhaZ_patatin	6783	8228	-	
GCA_035253605.1	DATFBV010000107.1	DATFBV010000107.1_7	ArchPhaZ_patatin	5241	6422	-	
GCA_035253865.1	DATFBL010000055.1	DATFBL010000055.1_12	ArchPhaZ_patatin	10771	11964	-	
GCA_035253885.1	DATFBJ010000133.1	DATFBJ010000133.1_3	ArchPhaZ_patatin	1541	2737	+	
GCA_035253885.1	DATFBJ010000148.1	DATFBJ010000148.1_1	ArchPhaZ_patatin	503	1732	+	
GCA_035253885.1	DATFBJ010000189.1	DATFBJ010000189.1_6	ArchPhaZ_patatin	3260	4396	+	
GCA_035253885.1	DATFBJ010000217.1	DATFBJ010000217.1_1	ArchPhaZ_patatin	94	1278	-	
GCA_035255545.1	DATEZN010000208.1	DATEZN010000208.1_1	ArchPhaZ_patatin	3	824	+	
GCA_035264705.1	DATFPS010000056.1	DATFPS010000056.1_1	ArchPhaZ_patatin	1	792	+	
GCA_035264705.1	DATFPS010000353.1	DATFPS010000353.1_2	ArchPhaZ_patatin	1848	2978	+	
GCA_035274085.1	DATEOO010000022.1	DATEOO010000022.1_1	ArchPhaZ_patatin	99	1331	+	
GCA_035274085.1	DATEOO010000064.1	DATEOO010000064.1_3	ArchPhaZ_patatin	3353	4825	+	
GCA_035274085.1	DATEOO010000064.1	DATEOO010000064.1_4	ArchPhaZ_patatin	4988	6358	-	
GCA_035274085.1	DATEOO010000098.1	DATEOO010000098.1_2	ArchPhaZ_patatin	585	1289	+	
GCA_035274085.1	DATEOO010000187.1	DATEOO010000187.1_1	ArchPhaZ_patatin	1	954	+	
GCA_035274085.1	DATEOO010000251.1	DATEOO010000251.1_4	ArchPhaZ_patatin	1761	2648	+	
GCA_035274085.1	DATEOO010000425.1	DATEOO010000425.1_2	ArchPhaZ_patatin	1155	2381	-	
GCA_035274085.1	DATEOO010000462.1	DATEOO010000462.1_2	ArchPhaZ_patatin	1987	3168	-	
GCA_035276505.1	DATELO010000018.1	DATELO010000018.1_2	ArchPhaZ_patatin	531	1721	-	
GCA_035276505.1	DATELO010000047.1	DATELO010000047.1_8	ArchPhaZ_patatin	6350	7801	-	
GCA_035276505.1	DATELO010000263.1	DATELO010000263.1_4	ArchPhaZ_patatin	3128	4357	-	
GCA_035276505.1	DATELO010000269.1	DATELO010000269.1_4	ArchPhaZ_patatin	2019	3239	-	
GCA_035279165.1	DATEIH010000070.1	DATEIH010000070.1_4	ArchPhaZ_patatin	1620	3044	-	
GCA_035279165.1	DATEIH010000079.1	DATEIH010000079.1_1	ArchPhaZ_patatin	3	1112	-	
GCA_035279165.1	DATEIH010000089.1	DATEIH010000089.1_1	ArchPhaZ_patatin	1	819	+	
GCA_035279165.1	DATEIH010000089.1	DATEIH010000089.1_2	ArchPhaZ_patatin	976	2448	-	
GCA_035279165.1	DATEIH010000224.1	DATEIH010000224.1_1	ArchPhaZ_patatin	103	1329	+	
GCA_035279165.1	DATEIH010000241.1	DATEIH010000241.1_4	ArchPhaZ_patatin	4069	5319	+	
GCA_035279165.1	DATEIH010000313.1	DATEIH010000313.1_1	ArchPhaZ_patatin	3	1067	-	
GCA_035280585.1	DATEFQ010000080.1	DATEFQ010000080.1_2	ArchPhaZ_patatin	1507	2694	+	
GCA_035280585.1	DATEFQ010000089.1	DATEFQ010000089.1_26	ArchPhaZ_patatin	22345	23799	-	
GCA_035281285.1	DATEEE010000034.1	DATEEE010000034.1_2	ArchPhaZ_patatin	703	1815	-	
GCA_035281285.1	DATEEE010000235.1	DATEEE010000235.1_10	ArchPhaZ_patatin	11863	13041	+	
GCA_035281285.1	DATEEE010000248.1	DATEEE010000248.1_2	ArchPhaZ_patatin	1390	2568	-	
GCA_035283265.1	DATEUD010000110.1	DATEUD010000110.1_5	ArchPhaZ_patatin	2983	4149	-	
GCA_035297365.1	DATGZA010000013.1	DATGZA010000013.1_18	ArchPhaZ_patatin	21163	22344	+	BdhA
GCA_035297365.1	DATGZA010000038.1	DATGZA010000038.1_9	ArchPhaZ_patatin	4274	5542	-	
GCA_035297365.1	DATGZA010000043.1	DATGZA010000043.1_4	ArchPhaZ_patatin	1569	2669	+	
GCA_035454925.1	DATIFZ010000075.1	DATIFZ010000075.1_1	ArchPhaZ_patatin	1	1110	+	
GCA_035454925.1	DATIFZ010000085.1	DATIFZ010000085.1_42	ArchPhaZ_patatin	36798	37925	-	
GCA_035454925.1	DATIFZ010000089.1	DATIFZ010000089.1_2	ArchPhaZ_patatin	605	2059	+	
GCA_035454985.1	DATIGB010000049.1	DATIGB010000049.1_2	ArchPhaZ_patatin	291	1418	+	
GCA_035455105.1	DATIFS010000043.1	DATIFS010000043.1_2	ArchPhaZ_patatin	638	1312	-	
GCA_035455245.1	DATIFN010000022.1	DATIFN010000022.1_20	ArchPhaZ_patatin	17835	18914	-	PhaC
GCA_035540375.1	DATLGO010000022.1	DATLGO010000022.1_15	ArchPhaZ_patatin	13217	14164	+	
GCA_035547955.1	DASZTR010000021.1	DASZTR010000021.1_23	ArchPhaZ_patatin	22529	23623	-	
GCA_035547955.1	DASZTR010000093.1	DASZTR010000093.1_7	ArchPhaZ_patatin	5845	6942	+	
GCA_035547955.1	DASZTR010000110.1	DASZTR010000110.1_1	ArchPhaZ_patatin	2	802	-	
GCA_035553595.1	DATMKA010000126.1	DATMKA010000126.1_8	ArchPhaZ_patatin	10223	11146	+	
GCA_035553595.1	DATMKA010000210.1	DATMKA010000210.1_6	ArchPhaZ_patatin	3042	3884	+	
GCA_035562555.1	DATMWK010000101.1	DATMWK010000101.1_30	ArchPhaZ_patatin	23572	24969	-	
GCA_035575435.1	DATLXX010000015.1	DATLXX010000015.1_17	ArchPhaZ_patatin	12885	14087	+	BdhA
GCA_035620415.1	DASPGV010000032.1	DASPGV010000032.1_12	ArchPhaZ_patatin	6718	8046	+	
GCA_035620415.1	DASPGV010000075.1	DASPGV010000075.1_20	ArchPhaZ_patatin	12723	13538	+	BdhA
GCA_035620895.1	DASPFY010000009.1	DASPFY010000009.1_128	ArchPhaZ_patatin	102205	103398	-	
GCA_035620895.1	DASPFY010000039.1	DASPFY010000039.1_157	ArchPhaZ_patatin	141692	143143	-	
GCA_035620895.1	DASPFY010000039.1	DASPFY010000039.1_169	ArchPhaZ_patatin	154321	155790	+	
GCA_035630235.1	DASQLB010000050.1	DASQLB010000050.1_6	ArchPhaZ_patatin	4644	6110	-	
GCA_035630235.1	DASQLB010000087.1	DASQLB010000087.1_1	ArchPhaZ_patatin	546	1724	+	
GCA_035630235.1	DASQLB010000100.1	DASQLB010000100.1_10	ArchPhaZ_patatin	9346	10296	+	
GCA_035630235.1	DASQLB010000308.1	DASQLB010000308.1_1	ArchPhaZ_patatin	1	1197	-	
GCA_035630235.1	DASQLB010000366.1	DASQLB010000366.1_3	ArchPhaZ_patatin	2742	3971	+	
GCA_035631875.1	DASQHX010000010.1	DASQHX010000010.1_272	ArchPhaZ_patatin	225585	226682	+	
GCA_035639375.1	DASQYF010000050.1	DASQYF010000050.1_15	ArchPhaZ_patatin	10790	11560	+	
GCA_035639375.1	DASQYF010000207.1	DASQYF010000207.1_9	ArchPhaZ_patatin	7737	8984	-	BdhA
GCA_035639375.1	DASQYF010000360.1	DASQYF010000360.1_2	ArchPhaZ_patatin	442	1797	-	
GCA_035639375.1	DASQYF010000388.1	DASQYF010000388.1_2	ArchPhaZ_patatin	1266	2468	-	
GCA_035639375.1	DASQYF010000422.1	DASQYF010000422.1_7	ArchPhaZ_patatin	5866	7071	+	
GCA_035639375.1	DASQYF010000442.1	DASQYF010000442.1_1	ArchPhaZ_patatin	1061	2185	-	
GCA_035640055.1	DASQWW010000058.1	DASQWW010000058.1_4	ArchPhaZ_patatin	1799	2986	-	BdhA
GCA_035640315.1	DASQWJ010000007.1	DASQWJ010000007.1_18	ArchPhaZ_patatin	18228	19415	-	
GCA_035641095.1	DASQUV010000011.1	DASQUV010000011.1_7	ArchPhaZ_patatin	6998	8158	+	
GCA_035641095.1	DASQUV010000012.1	DASQUV010000012.1_2	ArchPhaZ_patatin	1922	3241	+	
GCA_035642715.1	DASQRW010000070.1	DASQRW010000070.1_3	ArchPhaZ_patatin	703	1896	-	
GCA_035642715.1	DASQRW010000147.1	DASQRW010000147.1_9	ArchPhaZ_patatin	7199	8329	+	
GCA_035642715.1	DASQRW010000159.1	DASQRW010000159.1_6	ArchPhaZ_patatin	6619	7827	+	
GCA_035642715.1	DASQRW010000160.1	DASQRW010000160.1_12	ArchPhaZ_patatin	8888	10276	+	
GCA_035643435.1	DASQQK010000054.1	DASQQK010000054.1_15	ArchPhaZ_patatin	16071	17162	+	BdhA
GCA_035643435.1	DASQQK010000087.1	DASQQK010000087.1_9	ArchPhaZ_patatin	7763	8908	+	
GCA_035643435.1	DASQQK010000100.1	DASQQK010000100.1_27	ArchPhaZ_patatin	26622	27896	+	
GCA_035643435.1	DASQQK010000101.1	DASQQK010000101.1_14	ArchPhaZ_patatin	12688	14151	-	
GCA_035643435.1	DASQQK010000167.1	DASQQK010000167.1_14	ArchPhaZ_patatin	11539	12792	-	
GCA_035643435.1	DASQQK010000314.1	DASQQK010000314.1_3	ArchPhaZ_patatin	1454	2689	-	
GCA_035643435.1	DASQQK010000345.1	DASQQK010000345.1_14	ArchPhaZ_patatin	10158	11375	-	
GCA_035643635.1	DASQQB010000019.1	DASQQB010000019.1_16	ArchPhaZ_patatin	16205	17362	+	BdhA
GCA_035643635.1	DASQQB010000070.1	DASQQB010000070.1_2	ArchPhaZ_patatin	1995	3371	-	
GCA_035643635.1	DASQQB010000089.1	DASQQB010000089.1_6	ArchPhaZ_patatin	2629	3888	-	
GCA_035643635.1	DASQQB010000108.1	DASQQB010000108.1_63	ArchPhaZ_patatin	66834	68309	-	
GCA_035685565.1	DASSAF010000073.1	DASSAF010000073.1_1	ArchPhaZ_patatin	2	724	-	
GCA_035691865.1	DASSIM010000005.1	DASSIM010000005.1_5	ArchPhaZ_patatin	1687	2790	+	
GCA_035691865.1	DASSIM010000023.1	DASSIM010000023.1_58	ArchPhaZ_patatin	60867	62048	-	
GCA_035691865.1	DASSIM010000036.1	DASSIM010000036.1_2	ArchPhaZ_patatin	609	2039	-	
GCA_035691865.1	DASSIM010000095.1	DASSIM010000095.1_2	ArchPhaZ_patatin	1179	2378	+	
GCA_035691865.1	DASSIM010000115.1	DASSIM010000115.1_4	ArchPhaZ_patatin	2743	4203	+	
GCA_035703205.1	DASSYQ010000136.1	DASSYQ010000136.1_44	ArchPhaZ_patatin	31599	33074	+	
GCA_035710925.1	DASTCR010000057.1	DASTCR010000057.1_1	ArchPhaZ_patatin	402	1670	-	
GCA_035710925.1	DASTCR010000106.1	DASTCR010000106.1_5	ArchPhaZ_patatin	4475	5677	+	
GCA_035759485.1	DASTUU010000112.1	DASTUU010000112.1_3	ArchPhaZ_patatin	1923	2978	+	BdhA
GCA_035759485.1	DASTUU010000308.1	DASTUU010000308.1_1	ArchPhaZ_patatin	1	984	-	
GCA_035759485.1	DASTUU010000317.1	DASTUU010000317.1_3	ArchPhaZ_patatin	1294	2781	-	
GCA_035759485.1	DASTUU010000425.1	DASTUU010000425.1_3	ArchPhaZ_patatin	1948	3399	-	
GCA_035760305.1	DASTTF010000086.1	DASTTF010000086.1_3	ArchPhaZ_patatin	2117	3283	-	
GCA_035935115.1	DASYXK010000021.1	DASYXK010000021.1_300	ArchPhaZ_patatin	252634	253734	+	
GCA_036003785.1	DASYSB010000019.1	DASYSB010000019.1_49	ArchPhaZ_patatin	42818	43978	+	
GCA_036003785.1	DASYSB010000056.1	DASYSB010000056.1_8	ArchPhaZ_patatin	6997	8127	+	
GCA_036004585.1	DASYRH010000051.1	DASYRH010000051.1_3	ArchPhaZ_patatin	862	1659	-	
GCA_036258455.1	DATADQ010000084.1	DATADQ010000084.1_1	ArchPhaZ_patatin	1	756	-	
GCA_036258455.1	DATADQ010000221.1	DATADQ010000221.1_1	ArchPhaZ_patatin	1	1407	+	
GCA_036280615.1	DASUQJ010000106.1	DASUQJ010000106.1_4	ArchPhaZ_patatin	2752	4203	-	
GCA_036280615.1	DASUQJ010000106.1	DASUQJ010000106.1_15	ArchPhaZ_patatin	15243	16709	+	
