genome	patatin_copies
GCA_039822145.1	1
GCA_039822785.1	1
GCA_039822945.1	1
GCA_039832695.1	1
GCA_039888615.1	1
GCA_039889245.1	1
GCA_039908085.1	1
GCA_039908095.1	1
GCA_039908505.1	1
GCA_039914485.1	1
GCA_039915055.1	2
GCA_039915505.1	1
GCA_039915665.1	2
GCA_039915715.1	1
GCA_039915735.1	2
GCA_039915905.1	2
GCA_039916205.1	3
GCA_039916285.1	3
GCA_039916425.1	2
GCA_039916925.1	1
GCA_039917655.1	2
GCA_039917755.1	1
GCA_039918435.1	2
GCA_039919075.1	1
GCA_039919235.1	1
GCA_039919745.1	2
GCA_039919785.1	1
GCA_039919835.1	1
GCA_039919985.1	1
GCA_039920165.1	1
GCA_039920745.1	5
GCA_039920865.1	2
GCA_039921445.1	3
GCA_039921645.1	1
GCA_039921745.1	1
GCA_039921765.1	4
GCA_039922395.1	4
GCA_039922635.1	1
GCA_039922645.1	1
GCA_039922955.1	1
GCA_039923055.1	3
GCA_039923495.1	1
GCA_039923645.1	2
GCA_039923815.1	1
GCA_039923915.1	2
GCA_039924385.1	1
GCA_039924745.1	2
GCA_039924845.1	1
GCA_039925165.1	1
GCA_039925285.1	1
GCA_039925625.1	1
GCA_039925745.1	1
GCA_039926605.1	2
GCA_039926785.1	2
GCA_039927795.1	1
GCA_039927975.1	4
GCA_039928255.1	1
GCA_039929025.1	1
GCA_039929265.1	1
GCA_039929665.1	1
GCA_039930065.1	3
GCA_039930465.1	3
GCA_039930785.1	1
GCA_039930965.1	3
GCA_039930985.1	1
GCA_039931065.1	1
GCA_039931145.1	2
GCA_039931475.1	2
GCA_039931515.1	3
GCA_039931555.1	3
GCA_039931635.1	1
GCA_039931675.1	1
GCA_039931685.1	1
GCA_039931775.1	2
GCA_039932095.1	1
GCA_039932275.1	1
GCA_039932405.1	4
GCA_039932615.1	2
GCA_039932755.1	2
GCA_039932815.1	3
GCA_039932875.1	7
GCA_039933105.1	1
GCA_039933175.1	1
GCA_039933195.1	2
GCA_039933535.1	2
GCA_039933655.1	1
GCA_039933695.1	1
GCA_039933715.1	1
GCA_039933735.1	1
GCA_039934055.1	1
GCA_039934135.1	2
GCA_039934195.1	2
GCA_039934375.1	3
GCA_039934435.1	1
GCA_039934455.1	1
GCA_039934535.1	2
GCA_039934615.1	3
GCA_039934655.1	1
GCA_039934795.1	1
GCA_039935015.1	2
GCA_039935075.1	1
GCA_039935195.1	1
GCA_039935515.1	2
GCA_039935615.1	1
GCA_039935895.1	1
GCA_039935975.1	2
GCA_039936375.1	2
GCA_039936515.1	2
GCA_039937575.1	1
GCA_039937955.1	2
GCA_039938035.1	1
GCA_039938515.1	3
GCA_039938575.1	1
GCA_039938615.1	1
GCA_039942135.1	1
GCA_039942715.1	1
GCA_039960995.1	1
GCA_039964305.1	1
GCA_039967155.1	1
GCA_039969355.1	1
GCA_039969995.1	1
GCA_039970335.1	1
GCA_039972695.1	2
GCA_039972875.1	1
GCA_039973095.1	1
GCA_039973685.1	1
GCA_039974935.1	1
GCA_039975755.1	1
GCA_039976075.1	2
GCA_039978075.1	1
GCA_039978895.1	1
GCA_039979015.1	1
GCA_039980135.1	1
GCA_039983755.1	2
GCA_039983935.1	2
GCA_039984715.1	1
GCA_039986455.1	1
GCA_039986495.1	2
GCA_039986595.1	1
GCA_039986635.1	1
GCA_039986835.1	1
GCA_039989895.1	1
GCA_040002515.1	1
GCA_040002845.1	1
GCA_040003315.1	1
GCA_040003555.1	2
GCA_040003635.1	2
GCA_040004055.1	1
GCA_040004295.1	1
GCA_040004535.1	1
GCA_040004585.1	1
GCA_040004785.1	6
GCA_040004895.1	1
GCA_040005035.1	2
GCA_040005435.1	3
GCA_040005635.1	3
GCA_040005775.1	1
GCA_040005975.1	3
GCA_040006015.1	3
GCA_040006055.1	1
GCA_040006115.1	2
GCA_040006415.1	1
GCA_040006455.1	1
GCA_040006495.1	1
GCA_040006575.1	3
GCA_040006795.1	1
GCA_040006895.1	1
GCA_040007035.1	1
GCA_040007415.1	1
GCA_040007475.1	4
GCA_040007615.1	1
GCA_040007675.1	3
GCA_040007855.1	2
GCA_040007975.1	1
GCA_040079515.1	1
GCA_040079635.1	2
GCA_040079715.1	1
GCA_040079845.1	1
GCA_040080075.1	1
GCA_040080105.1	1
GCA_040080145.1	1
GCA_040080215.1	1
GCA_040080595.1	1
GCA_040080605.1	3
GCA_040080715.1	1
GCA_040080935.1	2
GCA_040080965.1	1
GCA_040081145.1	1
GCA_040081205.1	1
GCA_040081735.1	1
GCA_040081755.1	2
GCA_040112665.1	1
GCA_040119125.1	1
GCA_040216495.1	2
GCA_040216765.1	1
GCA_040216775.1	1
GCA_040217155.1	2
GCA_040217195.1	1
GCA_040217555.1	1
GCA_040218145.1	3
GCA_040218615.1	1
GCA_040218645.1	1
GCA_040219025.1	1
GCA_040219085.1	2
GCA_040219175.1	1
GCA_040219355.1	1
GCA_040219445.1	2
GCA_040219555.1	1
GCA_040220035.1	1
GCA_040220415.1	1
GCA_040220455.1	2
GCA_040222155.1	1
GCA_040222645.1	1
GCA_040223075.1	1
GCA_040223555.1	1
GCA_040223615.1	1
GCA_040223655.1	1
GCA_040223695.1	1
GCA_040226215.1	1
GCA_040235405.1	1
GCA_040235495.1	1
GCA_040255215.1	1
GCA_040255365.1	1
GCA_040255405.1	1
GCA_040255535.1	1
GCA_040255835.1	2
GCA_040255885.1	1
GCA_040255975.1	5
GCA_040262735.1	1
GCA_040264415.1	1
GCA_040275305.1	1
GCA_040275325.1	2
GCA_040275425.1	1
GCA_040275625.1	2
GCA_040275885.1	2
GCA_040297625.1	2
GCA_040302145.1	1
GCA_040364205.1	3
GCA_040365065.1	1
GCA_040371205.1	1
GCA_040373665.1	1
GCA_040373935.1	1
GCA_040375795.1	2
GCA_040376425.1	1
GCA_040376505.1	1
GCA_040376705.1	2
GCA_040376815.1	1
GCA_040376915.1	2
GCA_040376925.1	2
GCA_040376995.1	3
GCA_040377095.1	1
GCA_040377305.1	1
GCA_040377355.1	1
GCA_040377375.1	2
GCA_040377415.1	1
GCA_040379385.1	1
GCA_040379625.1	3
GCA_040380755.1	3
GCA_040381035.1	1
GCA_040381175.1	2
GCA_040381515.1	1
GCA_040381535.1	1
GCA_040382055.1	2
GCA_040382135.1	1
GCA_040382235.1	3
GCA_040382935.1	1
GCA_040382975.1	2
GCA_040383035.1	1
GCA_040383055.1	1
GCA_040383485.1	1
GCA_040383665.1	1
GCA_040384265.1	1
GCA_040384385.1	2
GCA_040384505.1	1
GCA_040384525.1	1
GCA_040384625.1	3
GCA_040384645.1	3
GCA_040384665.1	3
GCA_040384685.1	2
GCA_040384785.1	4
GCA_040384825.1	2
GCA_040384885.1	2
GCA_040384925.1	3
GCA_040385005.1	3
GCA_040385025.1	1
GCA_040385105.1	3
GCA_040385125.1	1
GCA_040385165.1	1
GCA_040385225.1	2
GCA_040385265.1	1
GCA_040385305.1	1
GCA_040385325.1	3
GCA_040385425.1	5
GCA_040385465.1	2
GCA_040385485.1	5
GCA_040385525.1	2
GCA_040385585.1	1
GCA_040385645.1	2
GCA_040385745.1	2
GCA_040385775.1	3
GCA_040385825.1	1
GCA_040385895.1	1
GCA_040385995.1	5
GCA_040386055.1	1
GCA_040386075.1	2
GCA_040386115.1	3
GCA_040386255.1	2
GCA_040386295.1	1
GCA_040386355.1	1
GCA_040386375.1	1
GCA_040386395.1	1
GCA_040386495.1	1
GCA_040386535.1	1
GCA_040386575.1	1
GCA_040386615.1	1
GCA_040386655.1	3
GCA_040387055.1	1
GCA_040387195.1	1
GCA_040387235.1	5
GCA_040387325.1	4
GCA_040387375.1	2
GCA_040387395.1	2
GCA_040387435.1	3
GCA_040387475.1	2
GCA_040387495.1	1
GCA_040387555.1	2
GCA_040387575.1	1
GCA_040387595.1	1
GCA_040387615.1	3
GCA_040387815.1	3
GCA_040387875.1	3
GCA_040387915.1	1
GCA_040388075.1	3
GCA_040388155.1	1
GCA_040388195.1	3
GCA_040388255.1	3
GCA_040388275.1	4
GCA_040388315.1	1
GCA_040388335.1	2
GCA_040388355.1	1
GCA_040388375.1	1
GCA_040388515.1	1
GCA_040388555.1	4
GCA_040388765.1	1
GCA_040388805.1	2
GCA_040388905.1	4
GCA_040388965.1	2
GCA_040389065.1	1
GCA_040389085.1	2
GCA_040389165.1	1
GCA_040389245.1	1
GCA_040389305.1	1
GCA_040389405.1	1
GCA_040389625.1	3
GCA_040389645.1	2
GCA_040389805.1	3
GCA_040389925.1	2
GCA_040389965.1	3
GCA_040389985.1	2
GCA_040390145.1	3
GCA_040390195.1	2
GCA_040390235.1	2
GCA_040390295.1	3
GCA_040390345.1	3
GCA_040390485.1	4
GCA_040390605.1	2
GCA_040390685.1	2
GCA_040390795.1	1
GCA_040390835.1	3
GCA_040390885.1	1
GCA_040390915.1	3
GCA_040391135.1	2
GCA_040391335.1	1
GCA_040391705.1	1
GCA_040391725.1	2
GCA_040391825.1	2
GCA_040391865.1	1
GCA_040391965.1	4
GCA_040392305.1	2
GCA_040392445.1	2
GCA_040392565.1	1
GCA_040392885.1	1
GCA_040393065.1	1
GCA_040393285.1	2
GCA_040393685.1	2
GCA_040394255.1	1
GCA_040394315.1	1
GCA_040395835.1	2
GCA_040396175.1	3
GCA_040396375.1	1
GCA_040398465.1	1
GCA_040398485.1	3
GCA_040399685.1	3
GCA_040399905.1	2
GCA_040399965.1	1
GCA_040400005.1	1
GCA_040400045.1	2
GCA_040400575.1	2
GCA_040400635.1	2
GCA_040400775.1	1
GCA_040400795.1	2
GCA_040400815.1	1
GCA_040400855.1	2
GCA_040400875.1	3
GCA_040400915.1	2
GCA_040400935.1	1
GCA_040400945.1	1
GCA_040401095.1	1
GCA_040401495.1	1
GCA_040401595.1	3
GCA_040403535.1	2
GCA_040403635.1	1
GCA_040409725.1	2
GCA_040414585.1	2
GCA_040414675.1	9
GCA_040507665.1	1
GCA_040507895.1	1
GCA_040508235.1	2
GCA_040508275.1	1
GCA_040508315.1	1
GCA_040508335.1	1
GCA_040508515.1	1
GCA_040508685.1	3
GCA_040508785.1	1
GCA_040508835.1	1
GCA_040508955.1	1
GCA_040509075.1	2
GCA_040509095.1	1
GCA_040509255.1	3
GCA_040509415.1	2
GCA_040509855.1	1
GCA_040510055.1	2
GCA_040510075.1	2
GCA_040510175.1	1
GCA_040510355.1	1
GCA_040510575.1	1
GCA_040510815.1	2
GCA_040510855.1	2
GCA_040512415.1	1
GCA_040512755.1	2
GCA_040512975.1	1
GCA_040513115.1	1
GCA_040514115.1	1
GCA_040544385.1	3
GCA_040544425.1	3
GCA_040635515.1	1
GCA_040643275.1	1
GCA_040674215.1	1
GCA_040679555.1	1
GCA_040751765.1	1
GCA_040752005.1	1
GCA_040752195.1	2
GCA_040752215.1	4
GCA_040752415.1	2
GCA_040752975.1	2
GCA_040753055.1	1
GCA_040754335.1	1
GCA_040755475.1	1
GCA_040755535.1	3
GCA_040755835.1	2
GCA_040755875.1	1
GCA_040755925.1	2
GCA_040755955.1	1
GCA_040756295.1	4
GCA_040756555.1	1
GCA_040756765.1	3
GCA_040756795.1	2
GCA_040756995.1	1
GCA_040757615.1	2
GCA_040757675.1	1
GCA_040757715.1	1
GCA_040757835.1	1
GCA_040758275.1	2
GCA_040758375.1	2
GCA_040758475.1	1
GCA_040758515.1	3
GCA_040758525.1	1
GCA_040758575.1	3
GCA_040765305.1	1
GCA_040767105.1	1
GCA_040773965.1	1
GCA_040797665.1	1
GCA_040801785.1	1
GCA_040829945.1	1
GCA_040830225.1	1
GCA_040830325.1	1
GCA_040830705.1	1
GCA_040830845.1	1
GCA_040833975.1	2
GCA_040877275.1	1
GCA_040877285.1	2
GCA_040877625.1	4
GCA_040877745.1	1
GCA_040878485.1	1
GCA_040878925.1	1
GCA_040880025.1	1
GCA_040880045.1	1
GCA_040880065.1	1
GCA_040880205.1	1
GCA_040880425.1	2
GCA_040882355.1	1
GCA_040899645.1	1
GCA_040901445.1	3
GCA_040901465.1	1
GCA_040901485.1	1
GCA_040902065.1	1
GCA_040902195.1	2
GCA_040902305.1	1
GCA_040902335.1	3
GCA_040902505.1	1
GCA_040902535.1	1
GCA_040902605.1	1
GCA_040902655.1	2
GCA_040904625.1	1
GCA_040904645.1	1
GCA_040905025.1	2
GCA_040905045.1	1
GCA_040905475.1	2
GCA_040905765.1	2
GCA_040905845.1	2
GCA_040946965.1	2
GCA_041060555.1	1
GCA_041083665.1	3
GCA_041156085.1	5
GCA_041157045.1	2
GCA_041158545.1	1
GCA_041158605.1	2
GCA_041158965.1	2
GCA_041159205.1	1
GCA_041159245.1	2
GCA_041160865.1	1
GCA_041161415.1	2
GCA_041163105.1	1
GCA_041164205.1	1
GCA_041164825.1	2
GCA_041165245.1	2
GCA_041165385.1	1
GCA_041165725.1	1
GCA_041168905.1	2
GCA_041169085.1	3
GCA_041169105.1	1
GCA_041169125.1	1
GCA_041169165.1	3
GCA_041169175.1	2
GCA_041169205.1	3
GCA_041169755.1	2
GCA_041172085.1	2
GCA_041173845.1	1
GCA_041174145.1	1
GCA_041174665.1	2
GCA_041174965.1	1
GCA_041175665.1	2
GCA_041176585.1	3
GCA_041178225.1	1
GCA_041178265.1	2
GCA_041178445.1	1
GCA_041178825.1	2
GCA_041179125.1	1
GCA_041179165.1	3
GCA_041179245.1	1
GCA_041179425.1	3
GCA_041179505.1	1
GCA_041179665.1	1
GCA_041179845.1	1
GCA_041180165.1	1
GCA_041181325.1	2
GCA_041181985.1	1
GCA_041182225.1	2
GCA_041182625.1	2
GCA_041183145.1	1
GCA_041183605.1	1
GCA_041190985.1	2
GCA_041191485.1	1
GCA_041192045.1	3
GCA_041192105.1	1
GCA_041192445.1	4
GCA_041192465.1	1
GCA_041228285.1	1
GCA_041277045.1	1
GCA_041287585.1	2
GCA_041288095.1	1
GCA_041288195.1	5
GCA_041299705.1	1
GCA_041307045.1	1
GCA_041307365.1	1
GCA_041307825.1	1
GCA_041307985.1	1
GCA_041308065.1	1
GCA_041310335.1	2
GCA_041310825.1	2
GCA_041311135.1	1
GCA_041389425.1	3
GCA_041389525.1	1
GCA_041389565.1	1
GCA_041389685.1	2
GCA_041389725.1	2
GCA_041389745.1	2
GCA_041389765.1	2
GCA_041389785.1	1
GCA_041389805.1	1
GCA_041389865.1	1
GCA_041389885.1	1
GCA_041389905.1	1
GCA_041389925.1	1
GCA_041389945.1	1
GCA_041389965.1	3
GCA_041389985.1	1
GCA_041390025.1	1
GCA_041390515.1	1
GCA_041391125.1	1
GCA_041391205.1	1
GCA_041393445.1	1
GCA_041393495.1	1
GCA_041393675.1	1
GCA_041394265.1	1
GCA_041394285.1	1
GCA_041394365.1	1
GCA_041394605.1	2
GCA_041395385.1	2
GCA_041395485.1	1
GCA_041395505.1	1
GCA_041395525.1	1
GCA_041395605.1	1
GCA_041395625.1	2
GCA_041395745.1	1
GCA_041395845.1	1
GCA_041395905.1	1
GCA_041395945.1	1
GCA_041396005.1	1
GCA_041396125.1	3
GCA_041396245.1	1
GCA_041396265.1	3
GCA_041396485.1	3
GCA_041396505.1	3
GCA_041396525.1	3
GCA_041396585.1	1
GCA_041396665.1	2
GCA_041396685.1	2
GCA_041396705.1	2
GCA_041396725.1	1
GCA_041396745.1	1
GCA_041396885.1	1
GCA_041396965.1	1
GCA_041397045.1	2
GCA_041397345.1	1
GCA_041397365.1	2
GCA_041397405.1	2
GCA_041397645.1	3
GCA_041397675.1	1
GCA_041397705.1	1
GCA_041397725.1	4
GCA_041397745.1	2
GCA_041397765.1	1
GCA_041397775.1	2
GCA_041397805.1	2
GCA_041397825.1	3
GCA_041397865.1	1
GCA_041397945.1	2
GCA_041398005.1	2
GCA_041398025.1	2
GCA_041398065.1	4
GCA_041398085.1	1
GCA_041398145.1	1
GCA_041398225.1	1
GCA_041398245.1	1
GCA_041398345.1	1
GCA_041398365.1	1
GCA_041398445.1	1
GCA_041402045.1	1
GCA_041424235.1	3
GCA_041424275.1	3
GCA_041440805.1	1
GCA_041442125.1	1
GCA_041476125.1	1
GCA_041476585.1	2
GCA_041477875.1	1
GCA_041477975.1	2
GCA_041478145.1	1
GCA_041479345.1	2
GCA_041479675.1	1
GCA_041480065.1	1
GCA_041482855.1	4
GCA_041483135.1	2
GCA_041483595.1	1
GCA_041483675.1	1
GCA_041484095.1	2
GCA_041485725.1	1
GCA_041486325.1	1
GCA_041486365.1	1
GCA_041487115.1	2
GCA_041487395.1	4
GCA_041487815.1	1
GCA_041488235.1	4
GCA_041488255.1	1
GCA_041488295.1	4
GCA_041488355.1	1
GCA_041488375.1	1
GCA_041490045.1	2
GCA_041490545.1	1
GCA_041490825.1	1
GCA_041491825.1	1
GCA_041492015.1	1
GCA_041493345.1	1
GCA_041493815.1	1
GCA_041495185.1	2
GCA_041495205.1	2
GCA_041495365.1	2
GCA_041496705.1	1
GCA_041496745.1	1
GCA_041497395.1	1
GCA_041497595.1	3
GCA_041497735.1	1
GCA_041497895.1	1
GCA_041497995.1	4
GCA_041499435.1	2
GCA_041499545.1	1
GCA_041499655.1	2
GCA_041499865.1	2
GCA_041499965.1	1
GCA_041499985.1	1
GCA_041500065.1	2
GCA_041500805.1	3
GCA_041504365.1	2
GCA_041545745.1	1
GCA_041546605.1	1
GCA_041552015.1	1
GCA_041554035.1	1
GCA_041556555.1	1
GCA_041556995.1	2
GCA_041557055.1	1
GCA_041557595.1	1
GCA_041557855.1	1
GCA_041558415.1	1
GCA_041559075.1	1
GCA_041560255.1	1
GCA_041563955.1	1
GCA_041564575.1	1
GCA_041565015.1	3
GCA_041565515.1	1
GCA_041567895.1	1
GCA_041568095.1	1
GCA_041568535.1	1
GCA_041570195.1	1
GCA_041571855.1	2
GCA_041576165.1	1
GCA_041576335.1	2
GCA_041576355.1	2
GCA_041576815.1	1
GCA_041579395.1	1
GCA_041579495.1	2
GCA_041579655.1	1
GCA_041580155.1	1
GCA_041581405.1	4
GCA_041581635.1	1
GCA_041581895.1	1
GCA_041581935.1	1
GCA_041582695.1	1
GCA_041583175.1	1
GCA_041583815.1	1
GCA_041584075.1	2
GCA_041584095.1	3
GCA_041584475.1	1
GCA_041584575.1	1
GCA_041584755.1	1
GCA_041585035.1	1
GCA_041586615.1	2
GCA_041586695.1	4
GCA_041586735.1	1
GCA_041586815.1	1
GCA_041586855.1	1
GCA_041587095.1	3
GCA_041587235.1	1
GCA_041587415.1	3
GCA_041588495.1	1
GCA_041589295.1	1
GCA_041589495.1	1
GCA_041589565.1	1
GCA_041589735.1	2
GCA_041590075.1	1
GCA_041590855.1	1
GCA_041591085.1	1
GCA_041591635.1	3
GCA_041592135.1	1
GCA_041592575.1	1
GCA_041592735.1	3
GCA_041592855.1	1
GCA_041593295.1	1
GCA_041593595.1	3
GCA_041594335.1	1
GCA_041594355.1	1
GCA_041594435.1	3
GCA_041594735.1	1
GCA_041595415.1	1
GCA_041595475.1	1
GCA_041596155.1	1
GCA_041596235.1	2
GCA_041599855.1	1
GCA_041600915.1	3
GCA_041601315.1	1
GCA_041601775.1	1
GCA_041601915.1	1
GCA_041601945.1	1
GCA_041601995.1	3
GCA_041602815.1	1
GCA_041603255.1	1
GCA_041603535.1	1
GCA_041603715.1	1
GCA_041605275.1	2
GCA_041606495.1	1
GCA_041609735.1	1
GCA_041611275.1	3
GCA_041612115.1	1
GCA_041616535.1	1
GCA_041617155.1	2
GCA_041617635.1	2
GCA_041618235.1	1
GCA_041618295.1	1
GCA_041619315.1	1
GCA_041619555.1	1
GCA_041620115.1	2
GCA_041620675.1	1
GCA_041621735.1	1
GCA_041621875.1	1
GCA_041622015.1	2
GCA_041622095.1	4
GCA_041622675.1	1
GCA_041622815.1	1
GCA_041622995.1	1
GCA_041623475.1	1
GCA_041623535.1	2
GCA_041623575.1	1
GCA_041624095.1	1
GCA_041624435.1	1
GCA_041624875.1	1
GCA_041625325.1	1
GCA_041625575.1	1
GCA_041626995.1	1
GCA_041627475.1	1
GCA_041627895.1	1
GCA_041628615.1	1
GCA_041629335.1	2
GCA_041632255.1	1
GCA_041633145.1	1
GCA_041633535.1	1
GCA_041633555.1	1
GCA_041635095.1	1
GCA_041635755.1	2
GCA_041637915.1	1
GCA_041637935.1	2
GCA_041638115.1	1
GCA_041639395.1	1
GCA_041639545.1	1
GCA_041639675.1	3
GCA_041640175.1	2
GCA_041640555.1	1
GCA_041640875.1	1
GCA_041641515.1	1
GCA_041641695.1	2
GCA_041641715.1	2
GCA_041641795.1	1
GCA_041642135.1	2
GCA_041642315.1	1
GCA_041648375.1	1
GCA_041655035.1	1
GCA_041655275.1	2
GCA_041655955.1	1
GCA_041656315.1	1
GCA_041658815.1	1
GCA_041659385.1	1
GCA_041659545.1	3
GCA_041659705.1	1
GCA_041659825.1	4
GCA_041659885.1	2
GCA_041660385.1	1
GCA_041660405.1	1
GCA_041660905.1	1
GCA_041662425.1	1
GCA_041662885.1	2
GCA_041663105.1	2
GCA_041665185.1	2
GCA_041665785.1	1
GCA_041674385.1	2
GCA_041674465.1	2
GCA_041674545.1	2
GCA_041674725.1	2
GCA_041674785.1	2
GCA_041675415.1	1
GCA_041675885.1	1
GCA_041675905.1	1
GCA_041676625.1	1
GCA_041676645.1	2
GCA_041678045.1	1
GCA_041678385.1	1
GCA_041678445.1	2
GCA_041685125.1	1
GCA_041685205.1	1
GCA_041685435.1	1
GCA_041685565.1	1
GCA_041685625.1	4
GCA_041685925.1	1
GCA_041686165.1	1
GCA_041686895.1	1
GCA_041687075.1	3
GCA_041687395.1	1
GCA_041687475.1	1
GCA_041687675.1	1
GCA_041687695.1	1
GCA_041688015.1	1
GCA_041688195.1	1
GCA_041688825.1	1
GCA_041688925.1	1
GCA_041689615.1	1
GCA_041690055.1	2
GCA_041690355.1	1
GCA_041690495.1	2
GCA_041690575.1	2
GCA_041690875.1	1
GCA_041690895.1	2
GCA_041690915.1	1
GCA_041691515.1	3
GCA_041691615.1	1
GCA_041691635.1	1
GCA_041691675.1	1
GCA_041691735.1	1
GCA_041691815.1	1
GCA_041694715.1	2
GCA_041694745.1	1
GCA_041694945.1	3
GCA_041725935.1	1
GCA_041730475.1	3
GCA_041730515.1	1
GCA_041736255.1	4
GCA_041736285.1	2
GCA_041736365.1	1
GCA_041736455.1	1
GCA_041736605.1	1
GCA_041737095.1	2
GCA_041737325.1	2
GCA_041737515.1	4
GCA_041738055.1	1
GCA_041738105.1	2
GCA_041738135.1	3
GCA_041738295.1	1
GCA_041738345.1	2
GCA_041738985.1	1
GCA_041739225.1	2
GCA_041739435.1	2
GCA_041739465.1	1
GCA_041739655.1	2
GCA_041739715.1	1
GCA_041739835.1	2
GCA_041740615.1	1
GCA_041740635.1	1
GCA_041740655.1	2
GCA_041740675.1	1
GCA_041740755.1	1
GCA_041740775.1	1
GCA_041741075.1	1
GCA_041741175.1	1
GCA_041741315.1	1
GCA_041741655.1	2
GCA_041741895.1	1
GCA_041742195.1	2
GCA_041742235.1	1
GCA_041742255.1	1
GCA_041742335.1	1
GCA_041743025.1	1
GCA_041744115.1	3
GCA_041744175.1	1
GCA_041744195.1	2
GCA_041744615.1	1
GCA_041745515.1	2
GCA_041745895.1	1
GCA_041746035.1	1
GCA_041746135.1	1
GCA_041746335.1	2
GCA_041746575.1	1
GCA_041747095.1	2
GCA_041747305.1	6
GCA_041747995.1	2
GCA_041749355.1	2
GCA_041749475.1	1
GCA_041750975.1	4
GCA_041751695.1	2
GCA_041751895.1	1
GCA_041752315.1	2
GCA_041752455.1	1
GCA_041752495.1	1
GCA_041752515.1	1
GCA_041752715.1	2
GCA_041752895.1	1
GCA_041753055.1	2
GCA_041784625.1	1
GCA_041821485.1	2
GCA_041853585.1	1
GCA_041855065.1	1
GCA_041875495.1	1
GCA_041891195.1	1
GCA_041904885.1	3
GCA_041904995.1	3
GCA_041905125.1	1
GCA_041905305.1	2
GCA_041905385.1	2
GCA_041905405.1	3
GCA_041905525.1	1
GCA_041905595.1	2
GCA_041905745.1	1
GCA_041905785.1	3
GCA_041905795.1	1
GCA_041905905.1	4
GCA_041906015.1	6
GCA_041906145.1	1
GCA_041906185.1	3
GCA_041906305.1	1
GCA_041906415.1	1
GCA_041907245.1	1
GCA_041907765.1	2
GCA_041908565.1	1
GCA_041909105.1	3
GCA_041909135.1	2
GCA_041910015.1	1
GCA_041910275.1	1
GCA_041910415.1	5
GCA_041910735.1	2
GCA_041910915.1	1
GCA_041911195.1	1
GCA_041911995.1	2
GCA_041912475.1	1
GCA_041912575.1	3
GCA_041912595.1	3
GCA_041913045.1	2
GCA_041913065.1	1
GCA_041913245.1	1
GCA_041913405.1	2
GCA_041913465.1	1
GCA_041913505.1	4
GCA_041913605.1	1
GCA_041913845.1	1
GCA_041913905.1	3
GCA_041914045.1	1
GCA_041914265.1	5
GCA_041914645.1	1
GCA_041914785.1	2
GCA_041915035.1	3
GCA_041915065.1	1
GCA_041915165.1	2
GCA_041915545.1	2
GCA_041916535.1	1
GCA_041916575.1	1
GCA_041916635.1	1
GCA_041916775.1	1
GCA_041917165.1	1
GCA_041917215.1	1
GCA_041917255.1	4
GCA_041917755.1	1
GCA_041917975.1	1
GCA_041918555.1	3
GCA_041918675.1	1
GCA_041918795.1	1
GCA_041919015.1	1
GCA_041919095.1	1
GCA_041919595.1	1
GCA_041919675.1	1
GCA_041919795.1	2
GCA_041919915.1	1
GCA_041920215.1	2
GCA_041920565.1	1
GCA_041939405.1	1
GCA_041940405.1	4
GCA_041940525.1	2
GCA_041946925.1	1
GCA_041984335.1	1
GCA_041984725.1	2
GCA_041984885.1	1
GCA_041984925.1	2
GCA_041987205.1	1
GCA_041987265.1	1
GCA_041987645.1	3
GCA_042088665.1	1
GCA_042090255.1	1
GCA_042090735.1	1
GCA_042090795.1	1
GCA_042091375.1	1
GCA_042093895.1	1
GCA_042096095.1	3
GCA_042138015.1	2
GCA_042216105.1	1
GCA_042216835.1	1
GCA_042217345.1	2
GCA_042218355.1	2
GCA_042219425.1	1
GCA_042219595.1	1
GCA_042408665.1	1
GCA_042662785.1	3
GCA_042666135.1	3
GCA_042701975.1	3
GCA_042862465.1	1
GCA_042867185.1	1
GCA_043099345.1	4
GCA_043392685.1	1
GCA_043421945.1	2
GCA_043423105.1	1
GCA_043513715.1	1
GCA_043513735.1	1
GCA_043513745.1	1
GCA_043553855.1	1
GCA_043561795.1	1
GCA_043585105.1	1
GCA_043673815.1	7
GCA_043673925.1	2
GCA_043716635.1	1
GCA_043716645.1	1
GCA_043716655.1	2
GCA_043716775.1	3
GCA_043716935.1	1
GCA_043717125.1	2
GCA_043717565.1	2
GCA_043717855.1	1
GCA_043718065.1	3
GCA_043718455.1	1
GCA_043718725.1	1
GCA_043718785.1	1
GCA_043718985.1	1
GCA_043719045.1	2
GCA_043719475.1	2
GCA_043719555.1	1
GCA_043720395.1	1
GCA_043720415.1	1
GCA_043720435.1	2
GCA_043720775.1	4
GCA_043721275.1	1
GCA_043721555.1	1
GCA_043721855.1	1
GCA_043722155.1	1
GCA_043725065.1	1
GCA_043725365.1	2
GCA_043727035.1	1
GCA_043727255.1	1
GCA_043728175.1	1
GCA_043728315.1	2
GCA_043729375.1	1
GCA_043729515.1	2
GCA_043731705.1	1
GCA_043731765.1	1
GCA_043732195.1	1
GCA_043732605.1	3
GCA_043732745.1	1
GCA_043733025.1	1
GCA_043734185.1	1
GCA_043736195.1	1
GCA_043736975.1	2
GCA_043737035.1	2
GCA_043737175.1	1
GCA_043737315.1	2
GCA_043737455.1	1
GCA_043737575.1	1
GCA_043737935.1	2
GCA_043738115.1	3
GCA_043738155.1	2
GCA_043738315.1	2
GCA_043738385.1	4
GCA_043738425.1	2
GCA_043738625.1	3
GCA_043738945.1	2
GCA_043739005.1	1
