accession	type	length
GCA_033852075.1|JAWSVC010000015.1_175	SP	554
GCA_033852075.1|JAWSVC010000015.1_244	SP	697
GCA_033852075.1|JAWSVC010000015.1_246	SP	547
GCA_033852075.1|JAWSVC010000003.1_70	SP	823
GCA_033852075.1|JAWSVC010000016.1_11	SP	880
GCA_033852075.1|JAWSVC010000022.1_55	SP	378
GCA_033852135.1|JAWSVB010000005.1_11	SP	433
GCA_033852135.1|JAWSVB010000005.1_13	SP	437
GCA_033852135.1|JAWSVB010000010.1_25	SP	802
GCA_033852135.1|JAWSVB010000010.1_92	SP	827
GCA_033852135.1|JAWSVB010000014.1_63	SP	379
GCA_033852135.1|JAWSVB010000002.1_5	SP	885
GCA_033852135.1|JAWSVB010000021.1_2	SP	666
GCA_033852135.1|JAWSVB010000022.1_133	SP	866
GCA_033852135.1|JAWSVB010000026.1_12	SP	461
GCA_033852135.1|JAWSVB010000026.1_13	TAT	460
GCA_033852135.1|JAWSVB010000026.1_14	SP	593
GCA_033852135.1|JAWSVB010000026.1_15	SP	619
GCA_033852135.1|JAWSVB010000026.1_16	SP	667
GCA_033852155.1|JAWSVA010000007.1_26	SP	666
GCA_033852155.1|JAWSVA010000007.1_27	SP	660
GCA_033852155.1|JAWSVA010000007.1_29	SP	462
GCA_033852155.1|JAWSVA010000009.1_236	SP	823
GCA_033852155.1|JAWSVA010000010.1_132	SP	850
GCA_033852155.1|JAWSVA010000012.1_67	SP	395
GCA_033852155.1|JAWSVA010000003.1_47	SP	433
GCA_033852155.1|JAWSVA010000003.1_48	SP	437
GCA_033852155.1|JAWSVA010000015.1_31	SP	795
GCA_033852155.1|JAWSVA010000006.1_56	SP	877
GCA_033852165.1|JAWSUZ010000053.1_14	SP	434
GCA_033852165.1|JAWSUZ010000054.1_119	SP	422
GCA_033852165.1|JAWSUZ010000011.1_81	SP	702
GCA_033852165.1|JAWSUZ010000018.1_39	SP	421
GCA_033852165.1|JAWSUZ010000023.1_63	SP	590
GCA_033852165.1|JAWSUZ010000023.1_70	SP	599
GCA_033852165.1|JAWSUZ010000024.1_1	SP	450
GCA_033852165.1|JAWSUZ010000025.1_1	SP	451
GCA_033852165.1|JAWSUZ010000026.1_12	SP	429
GCA_033852165.1|JAWSUZ010000038.1_86	SP	693
GCA_033852165.1|JAWSUZ010000041.1_17	SP	328
GCA_033852165.1|JAWSUZ010000042.1_3	SP	604
GCA_033852175.1|JAWSUY010000003.1_78	SP	605
GCA_033852175.1|JAWSUY010000003.1_84	SP	591
GCA_033852175.1|JAWSUY010000058.1_105	SP	376
GCA_033852175.1|JAWSUY010000062.1_25	SP	611
GCA_033852175.1|JAWSUY010000066.1_14	SP	610
GCA_033852175.1|JAWSUY010000014.1_16	SP	402
GCA_033852175.1|JAWSUY010000070.1_1	SP	680
GCA_033852175.1|JAWSUY010000015.1_121	SP	328
GCA_033852175.1|JAWSUY010000018.1_5	SP	333
GCA_033852175.1|JAWSUY010000019.1_51	SP	684
GCA_033852175.1|JAWSUY010000023.1_3	SP	609
GCA_033852175.1|JAWSUY010000084.1_12	SP	354
GCA_033852175.1|JAWSUY010000010.1_125	SP	500
GCA_033852175.1|JAWSUY010000047.1_38	SP	411
GCA_033852175.1|JAWSUY010000047.1_39	SP	422
GCA_033852215.1|JAWSUX010000214.1_3	SP	687
GCA_033852215.1|JAWSUX010000224.1_6	SP	297
GCA_033852215.1|JAWSUX010000258.1_3	SP	328
GCA_033852215.1|JAWSUX010000326.1_3	SP	764
GCA_033852215.1|JAWSUX010000376.1_6	SP	316
GCA_033852215.1|JAWSUX010000148.1_1	SP	342
GCA_033853555.1|JAWOLJ010000065.1_7	SP	346
GCA_033854735.1|JAWWPY010000294.1_6	SP	442
GCA_033854735.1|JAWWPY010000614.1_6	SP	352
GCA_033855075.1|JAWVGM010000059.1_26	SP	313
GCA_033855515.1|JAWVGD010000423.1_2	LIPO	309
GCA_033855515.1|JAWVGD010000542.1_3	SP	411
GCA_033855515.1|JAWVGD010000600.1_6	SP	312
GCA_033856025.1|JAWVFQ010000029.1_81	SP	459
GCA_033856235.1|JAWVFI010000090.1_3	SP	299
GCA_033856255.1|JAWVFH010000050.1_40	SP	349
GCA_033857635.1|JAWVDF010000060.1_6	SP	299
GCA_033857635.1|JAWVDF010000066.1_4	SP	339
GCA_034002405.1|JAVFAS010000065.1_5	LIPO	315
GCA_034002745.1|JAVEZY010000035.1_1	SP	346
GCA_034004565.1|JAVEWL010000111.1_2	LIPO	325
GCA_034005005.1|JAVEVO010000077.1_11	SP	484
GCA_034005165.1|JAVEVE010000005.1_120	SP	355
GCA_034005265.1|JAVEVB010000017.1_20	SP	379
GCA_034005315.1|JAVEUY010000105.1_2	SP	297
GCA_034007585.1|JAVEQP010000001.1_76	SP	387
GCA_034089285.1|JAXDUM010000008.1_31	SP	310
GCA_034091885.1|JAXFXA010000010.1_4	SP	320
GCA_034101015.1|JAXEKN010000015.1_4	SP	820
GCA_034111385.1|JAWUXK010000051.1_2	SP	312
GCA_034112105.1|JAWUVZ010000038.1_21	LIPO	347
GCA_034112225.1|JAWUVT010000030.1_3	SP	296
GCA_034112225.1|JAWUVT010000047.1_17	SP	386
GCA_034189035.1|JAXHVA010000172.1_2	LIPO	333
GCA_034189135.1|JAXHVO010000023.1_8	LIPO	529
GCA_034189135.1|JAXHVO010000083.1_12	SP	319
GCA_034189165.1|JAXHVN010000048.1_9	SP	330
GCA_034189185.1|JAXHVM010000206.1_3	SP	328
GCA_034189865.1|JAXHTV010000013.1_40	SP	336
GCA_034189865.1|JAXHTV010000026.1_26	LIPO	334
GCA_034190055.1|JAXHTT010000077.1_13	SP	359
GCA_034190145.1|JAXHTN010000040.1_3	LIPO	333
GCA_034211175.1|JAXHUH010000241.1_9	SP	352
GCA_034366485.1|JAXMMN010000057.1_2	SP	377
GCA_034366585.1|JAXMMJ010000136.1_26	SP	341
GCA_034406555.1|DASCRM010000009.1_7	LIPO	421
GCA_034408725.1|JAWXCN010000019.1_26	LIPO	313
GCA_034408895.1|JAWXCI010000065.1_8	SP	379
GCA_034408915.1|DAOUGG010000055.1_6	SP	321
GCA_034411715.1|DAOUMJ010000123.1_13	LIPO	305
GCA_034412795.1|DAOUMD010000043.1_2	SP	325
GCA_034417075.1|DAOULU010000031.1_69	LIPO	317
GCA_034422595.1|DAOUJO010000001.1_73	SP	427
GCA_034423175.1|DAOUJA010000060.1_53	LIPO	379
GCA_034428895.1|DAOUGM010000089.1_2	LIPO	319
GCA_034429275.1|DAOUFU010000073.1_23	SP	642
GCA_034429475.1|DAOUGD010000046.1_18	LIPO	314
GCA_034430195.1|DAOUFF010000057.1_23	SP	378
GCA_034430425.1|DAOUEK010000040.1_12	SP	317
GCA_034430475.1|DAOUEA010000029.1_28	LIPO	317
GCA_034430555.1|DAOUEM010000469.1_6	SP	601
GCA_034430695.1|DAOUEE010000207.1_14	LIPO	317
GCA_034430775.1|DAOUDU010000095.1_31	LIPO	321
GCA_034430795.1|DAOUDJ010000147.1_4	LIPO	340
GCA_034431835.1|DAOUDA010000052.1_4	SP	318
GCA_034431895.1|DAOUCM010000051.1_3	LIPO	317
GCA_034431895.1|DAOUCM010000195.1_5	LIPO	338
GCA_034432055.1|DAOUCT010000053.1_11	LIPO	347
GCA_034432395.1|DAOUBU010000005.1_34	SP	326
GCA_034432495.1|DAOUCB010000026.1_4	SP	306
GCA_034432495.1|DAOUCB010000164.1_41	SP	332
GCA_034432495.1|DAOUCB010000184.1_89	SP	365
GCA_034432635.1|DAOUBK010000009.1_8	LIPO	306
GCA_034433515.1|DAOUAL010000033.1_1	LIPO	318
GCA_034433515.1|DAOUAL010000071.1_46	LIPO	318
GCA_034433775.1|DAOUAI010000085.1_2	LIPO	335
GCA_034434255.1|DAOTZT010000099.1_1	LIPO	313
GCA_034434415.1|DAOTZF010000034.1_2	LIPO	305
GCA_034434595.1|DAOTZD010000021.1_166	SP	339
GCA_034434615.1|DAOTYT010000292.1_7	LIPO	319
GCA_034434655.1|DAOTYR010000156.1_10	LIPO	306
GCA_034434755.1|DAOTYW010000340.1_2	LIPO	314
GCA_034435015.1|DAOTYH010000065.1_18	LIPO	309
GCA_034435055.1|DAOTXS010000014.1_56	LIPO	315
GCA_034435215.1|DAOTXM010000169.1_5	LIPO	323
GCA_034435275.1|DAOTXP010000090.1_2	LIPO	303
GCA_034435315.1|DAOTYB010000142.1_5	LIPO	317
GCA_034435375.1|DAOTXR010000092.1_3	LIPO	316
GCA_034435395.1|DAOTXK010000366.1_7	SP	600
GCA_034435435.1|DAOTXN010000035.1_42	SP	313
GCA_034435475.1|DAOTXI010000630.1_2	LIPO	307
GCA_034435495.1|DAOTXO010000075.1_3	SP	585
GCA_034435575.1|DAOTXB010000166.1_5	SP	300
GCA_034435575.1|DAOTXB010000861.1_12	SP	615
GCA_034435595.1|DAOTXA010000218.1_2	SP	581
GCA_034435635.1|DAOTWY010000055.1_25	SP	308
GCA_034435635.1|DAOTWY010000153.1_6	SP	576
GCA_034435675.1|DAOTWP010000220.1_11	SP	592
GCA_034435735.1|DAOTWU010000594.1_6	SP	291
GCA_034435835.1|DAOTWF010000017.1_28	LIPO	341
GCA_034435995.1|DAOTWC010000115.1_10	SP	313
GCA_034436045.1|DAOTVZ010000282.1_18	SP	480
GCA_034436075.1|DAOTWI010000870.1_4	LIPO	334
GCA_034436155.1|DAOTVP010000028.1_11	SP	312
GCA_034436155.1|DAOTVP010000074.1_3	SP	320
GCA_034436595.1|DAOTUO010000146.1_5	SP	316
GCA_034436915.1|DAOTUR010000041.1_23	SP	315
GCA_034437055.1|DAOTUQ010000017.1_128	SP	319
GCA_034437055.1|DAOTUQ010000085.1_29	SP	340
GCA_034437295.1|DAOTUZ010000167.1_3	SP	330
GCA_034437295.1|DAOTUZ010000198.1_3	SP	305
GCA_034437395.1|DAOTUN010000052.1_11	SP	338
GCA_034437535.1|DAOTTZ010000064.1_15	SP	295
GCA_034437635.1|DAOTTT010000019.1_6	SP	300
GCA_034437835.1|DAOTTP010000081.1_2	SP	589
GCA_034438015.1|DAOTTD010000044.1_16	SP	335
GCA_034438135.1|DAOTTL010000571.1_2	LIPO	330
GCA_034439635.1|JAWXAS010000025.1_8	SP	374
GCA_034439635.1|JAWXAS010000119.1_34	SP	292
GCA_034439915.1|JAWXBI010000115.1_1	SP	305
GCA_034439955.1|JAWXBJ010000150.1_9	SP	312
GCA_034440255.1|JAWXBU010000173.1_47	LIPO	340
GCA_034440355.1|JAWXBY010000004.1_3	SP	302
GCA_034440355.1|JAWXBY010000083.1_22	SP	304
GCA_034440455.1|JAWXCB010000031.1_61	SP	391
GCA_034440455.1|JAWXCB010000117.1_10	SP	383
GCA_034440555.1|JAWXCG010000310.1_11	LIPO	346
GCA_034505955.1|JAPDQK010000013.1_67	LIPO	267
GCA_034519505.1|JAXHOI010000004.1_14	LIPO	326
GCA_034519945.1|JAXHNX010000031.1_85	SP	336
GCA_034521145.1|JAXHMX010000001.1_444	SP	295
GCA_034521225.1|JAXHMR010000016.1_130	LIPO	335
GCA_034522715.1|JAXHLA010000005.1_114	SP	329
GCA_034659295.1|JAYEGX010000055.1_15	LIPO	716
GCA_034659735.1|JAYEHX010000077.1_43	LIPO	264
GCA_034660515.1|JAYEJI010000117.1_5	SP	293
GCA_034664165.1|JAXDIE010000075.1_13	SP	351
GCA_034664425.1|JAXDHR010000183.1_45	SP	401
GCA_034664525.1|JAXDHL010000106.1_5	SP	334
GCA_034664525.1|JAXDHL010000435.1_3	SP	398
GCA_034664525.1|JAXDHL010000489.1_8	SP	308
GCA_034664525.1|JAXDHL010000567.1_3	SP	310
GCA_034664785.1|JAXDGY010000224.1_28	SP	493
GCA_034664785.1|JAXDGY010000352.1_12	SP	409
GCA_034664785.1|JAXDGY010000385.1_5	SP	308
GCA_034664845.1|JAXDGW010000098.1_14	SP	310
GCA_034665145.1|JAXDGI010000109.1_2	SP	392
GCA_034665165.1|JAXDGF010000282.1_10	SP	346
GCA_034665465.1|JAXDFS010000356.1_16	LIPO	291
GCA_034665545.1|JAXDFO010000080.1_3	SP	353
GCA_034665905.1|JAXDMU010000568.1_3	SP	339
GCA_034666145.1|JAXDMI010000071.1_13	LIPO	351
GCA_034666145.1|JAXDMI010000119.1_2	LIPO	356
GCA_034666145.1|JAXDMI010000184.1_4	LIPO	828
GCA_034666145.1|JAXDMI010000615.1_2	LIPO	310
GCA_034666145.1|JAXDMI010001011.1_14	LIPO	414
GCA_034666225.1|JAXDMH010000289.1_2	LIPO	380
GCA_034666285.1|JAXDME010000305.1_3	SP	307
GCA_034666305.1|JAXDMA010000120.1_3	LIPO	447
GCA_034666385.1|JAXDLY010000041.1_3	LIPO	357
GCA_034666405.1|JAXDLW010000010.1_260	SP	353
GCA_034666465.1|JAXDLT010000416.1_19	SP	427
GCA_034667465.1|JAXDJV010000002.1_331	SP	303
GCA_034668265.1|JAXDPR010000128.1_2	SP	333
GCA_034676685.1|JAUCBT010000016.1_153	SP	391
GCA_034678415.1|JAXDBV010000243.1_4	SP	314
GCA_034716715.1|JAYEKC010000066.1_3	SP	309
GCA_034716895.1|JAYEKW010000209.1_14	SP	556
GCA_034925975.1|JAYFRK010000188.1_11	SP	598
GCA_034926415.1|JAYFRC010000034.1_1	SP	453
GCA_034928745.1|JAYFOS010000011.1_167	SP	301
GCA_035063585.1|JAPSGB010000009.1_94	LIPO	361
GCA_035248365.1|DATFHN010000147.1_3	SP	423
GCA_035248365.1|DATFHN010000234.1_15	SP	408
GCA_035248505.1|DATFHK010000035.1_2	TAT	317
GCA_035248725.1|DATFHG010000090.1_6	LIPO	282
GCA_035249305.1|DATFGQ010000039.1_45	LIPO	269
GCA_035249945.1|DATFFS010000282.1_16	LIPO	333
GCA_035250065.1|DATFFJ010000134.1_3	LIPO	286
GCA_035251915.1|DATFDU010000351.1_2	SP	279
GCA_035253445.1|DATFCF010001023.1_6	SP	264
GCA_035253585.1|DATFBY010000126.1_5	LIPO	303
GCA_035253685.1|DATFBR010000216.1_19	LIPO	292
GCA_035254165.1|DATFAW010000301.1_4	SP	827
GCA_035255045.1|DATFAA010000165.1_32	SP	327
GCA_035258765.1|DATFWZ010000472.1_3	SP	247
GCA_035258845.1|DATFWX010000014.1_36	SP	299
GCA_035258845.1|DATFWX010000139.1_2	LIPO	304
GCA_035260105.1|DATFVT010000038.1_5	SP	335
GCA_035261165.1|DATFUE010000579.1_1	SP	305
GCA_035261565.1|DATFTU010000537.1_3	SP	493
GCA_035262365.1|DATFSZ010000172.1_33	SP	338
GCA_035262505.1|DATFSR010000077.1_28	SP	270
GCA_035262885.1|DATFRZ010000013.1_3	SP	288
GCA_035262925.1|DATFRY010000576.1_4	SP	417
GCA_035262945.1|DATFRW010000365.1_6	SP	313
GCA_035266345.1|DATFNP010000088.1_47	SP	301
GCA_035266525.1|DATFNF010000055.1_37	SP	633
GCA_035267185.1|DATFLY010000168.1_11	SP	335
GCA_035268465.1|DATFKV010000480.1_5	SP	387
GCA_035268885.1|DATFKA010000161.1_5	LIPO	303
GCA_035269065.1|DATFJT010000023.1_1	SP	285
GCA_035271585.1|DATERL010000027.1_3	SP	796
GCA_035272945.1|DATEPX010000067.1_48	SP	264
GCA_035273045.1|DATEPR010000581.1_10	SP	428
GCA_035273425.1|DATEPB010000089.1_4	SP	345
GCA_035273665.1|DATEOW010000013.1_5	SP	343
GCA_035274425.1|DATEOC010000019.1_1	SP	566
GCA_035274465.1|DATEOF010000005.1_19	LIPO	408
GCA_035275805.1|DATEMG010000533.1_2	SP	257
GCA_035276365.1|DATELS010000595.1_5	SP	293
GCA_035277165.1|DATEKX010000029.1_5	SP	271
GCA_035277225.1|DATEKY010000583.1_4	SP	252
GCA_035278125.1|DATEJJ010000555.1_3	LIPO	312
GCA_035278125.1|DATEJJ010000984.1_13	SP	438
GCA_035278125.1|DATEJJ010001128.1_2	SP	432
GCA_035278325.1|DATEJD010000083.1_4	SP	309
GCA_035278345.1|DATEJC010000167.1_20	SP	302
GCA_035278885.1|DATEIR010000099.1_13	SP	305
GCA_035279135.1|DATEII010000187.1_29	SP	521
GCA_035279185.1|DATEIG010000293.1_5	SP	294
GCA_035280045.1|DATEGP010000006.1_15	SP	271
GCA_035280065.1|DATEGO010000074.1_24	SP	271
GCA_035281265.1|DATEEF010000040.1_1	LIPO	360
GCA_035281505.1|DATEDT010000051.1_28	SP	353
GCA_035281505.1|DATEDT010000112.1_20	LIPO	307
GCA_035281585.1|DATEDP010000036.1_4	LIPO	321
GCA_035283325.1|DATEUF010000254.1_22	SP	349
GCA_035285125.1|JAYKHR010000034.1_21	LIPO	349
GCA_035285325.1|JAYKJB010000105.1_22	LIPO	340
GCA_035285405.1|JAYKJI010000376.1_25	LIPO	357
GCA_035286705.1|DATECW010000145.1_2	SP	733
GCA_035287825.1|DATEBK010000069.1_3	SP	335
GCA_035287825.1|DATEBK010000069.1_4	SP	341
GCA_035288185.1|DATEAV010000276.1_11	SP	334
GCA_035288225.1|DATEAT010000192.1_3	LIPO	320
GCA_035290985.1|DATDTH010000549.1_14	SP	284
GCA_035291465.1|DATDRZ010000070.1_8	LIPO	330
GCA_035291465.1|DATDRZ010000075.1_14	LIPO	338
GCA_035291905.1|DATDRF010000048.1_3	SP	733
GCA_035292085.1|DATDQT010000119.1_10	SP	310
GCA_035292625.1|DATDPS010000300.1_5	SP	329
GCA_035292965.1|DATDPC010000014.1_9	LIPO	343
GCA_035292965.1|DATDPC010000050.1_3	LIPO	341
GCA_035293185.1|DATDOP010000075.1_3	LIPO	345
GCA_035293185.1|DATDOP010000075.1_4	LIPO	337
GCA_035293765.1|DATGMF010000016.1_3	LIPO	351
GCA_035293765.1|DATGMF010000059.1_127	SP	340
GCA_035294125.1|DATGLM010000029.1_70	TATLIPO	352
GCA_035294325.1|DATGLE010000061.1_3	LIPO	363
GCA_035294465.1|DATGKW010000119.1_4	SP	486
GCA_035294465.1|DATGKW010000256.1_1	SP	425
GCA_035294845.1|DATGKC010000570.1_3	SP	345
GCA_035294925.1|DATGJZ010000049.1_48	SP	345
GCA_035295245.1|DATGJK010000046.1_5	SP	314
GCA_035295445.1|DATGJA010000389.1_10	LIPO	423
GCA_035295445.1|DATGJA010000501.1_7	SP	741
GCA_035295605.1|DATGIR010000483.1_16	LIPO	310
GCA_035295685.1|DATGIO010000072.1_129	SP	345
GCA_035295845.1|DATGIF010000027.1_16	SP	320
GCA_035296545.1|DATHAU010000448.1_4	SP	384
GCA_035297005.1|DATGZW010000141.1_4	SP	305
GCA_035298145.1|DATGYF010000544.1_4	SP	308
GCA_035298685.1|DATGXU010000530.1_5	SP	336
GCA_035298825.1|DATGXR010000441.1_1	SP	269
GCA_035298845.1|DATGXP010000820.1_6	SP	376
GCA_035299065.1|DATGXI010000135.1_34	SP	376
GCA_035299145.1|DATGWZ010000009.1_56	SP	379
GCA_035299425.1|DATGWP010000047.1_27	SP	377
GCA_035299425.1|DATGWP010000065.1_13	SP	409
GCA_035299485.1|DATGWM010000003.1_72	SP	381
GCA_035299485.1|DATGWM010000014.1_494	SP	379
GCA_035299505.1|DATGWL010000069.1_18	SP	387
GCA_035304725.1|DATGPR010000110.1_2	LIPO	328
GCA_035305395.1|DATGOZ010000175.1_4	SP	380
GCA_035305805.1|DATGOR010000037.1_4	SP	317
GCA_035306665.1|DATGNP010000083.1_3	SP	307
GCA_035307385.1|DATGID010000032.1_42	LIPO	321
GCA_035307385.1|DATGID010000100.1_82	SP	335
GCA_035308165.1|DATGHC010000079.1_54	SP	345
GCA_035308185.1|DATGHG010000240.1_1	SP	321
GCA_035308365.1|DATGGU010000203.1_30	SP	367
GCA_035308545.1|DATGGI010000213.1_17	SP	305
GCA_035309185.1|DATGFK010000569.1_4	SP	318
GCA_035310405.1|DATGEF010000379.1_5	LIPO	314
GCA_035314925.1|DATFYT010000202.1_3	LIPO	282
GCA_035314925.1|DATFYT010000265.1_4	LIPO	282
GCA_035314925.1|DATFYT010000268.1_5	LIPO	297
GCA_035315605.1|DATFXS010000943.1_2	SP	296
GCA_035316325.1|DATHJB010000161.1_5	LIPO	367
GCA_035318465.1|DATHES010000101.1_58	LIPO	318
GCA_035318465.1|DATHES010000188.1_20	LIPO	323
GCA_035318505.1|DATHEQ010000016.1_50	LIPO	322
GCA_035318505.1|DATHEQ010000355.1_14	LIPO	317
GCA_035325645.1|DAOKZK010000011.1_14	SP	327
GCA_035325905.1|DAOKYY010000033.1_9	SP	603
GCA_035325985.1|DAOKYW010000001.1_197	SP	376
GCA_035325985.1|DAOKYW010000021.1_4	SP	379
GCA_035326365.1|DAOLFJ010000003.1_25	SP	379
GCA_035327665.1|DAOLCW010000017.1_10	SP	348
GCA_035340095.1|DAORGN010000028.1_11	LIPO	336
GCA_035340095.1|DAORGN010000100.1_1	LIPO	574
GCA_035340155.1|DAOQBX010000397.1_2	LIPO	297
GCA_035343915.1|DAOQZZ010000064.1_4	SP	282
GCA_035343915.1|DAOQZZ010000064.1_5	SP	272
GCA_035344075.1|DAORAI010000240.1_3	LIPO	328
GCA_035345235.1|DAORCC010000137.1_2	SP	355
GCA_035345735.1|DAORCZ010000707.1_1	LIPO	304
GCA_035352895.1|DAOPYN010000030.1_20	SP	341
GCA_035352895.1|DAOPYN010000061.1_2	SP	357
GCA_035362335.1|DAOSDL010000058.1_6	SP	397
GCA_035363255.1|DAOSES010000031.1_7	SP	654
GCA_035367355.1|DAOSJS010000045.1_5	SP	320
GCA_035371305.1|DAOOWN010000033.1_9	SP	372
GCA_035373625.1|DAOSNS010000008.1_31	LIPO	314
GCA_035374585.1|DAOSPF010000032.1_15	SP	808
GCA_035380005.1|DAOSWJ010000229.1_5	SP	513
GCA_035382965.1|DAOTAZ010000027.1_15	SP	357
GCA_035382965.1|DAOTAZ010000123.1_2	SP	409
GCA_035382965.1|DAOTAZ010000393.1_2	SP	610
GCA_035387945.1|DAOOOX010000032.1_32	SP	247
GCA_035388625.1|DAOOQH010000254.1_3	SP	386
GCA_035388945.1|DAOOQW010000005.1_16	SP	330
GCA_035389045.1|DAOORA010000024.1_51	SP	391
GCA_035389045.1|DAOORA010000079.1_7	SP	379
GCA_035391465.1|DAOPKY010000017.1_1	SP	358
GCA_035392545.1|DAONMJ010000134.1_2	SP	303
GCA_035400945.1|DAONAJ010000043.1_7	LIPO	313
GCA_035400945.1|DAONAJ010000078.1_9	SP	316
GCA_035403045.1|DAONEL010000027.1_5	LIPO	472
GCA_035405785.1|DAONJS010000007.1_121	SP	380
GCA_035421345.1|DAOLWT010000312.1_1	SP	381
GCA_035426385.1|DAOLZQ010000001.1_11	SP	384
GCA_035429585.1|DAOMFB010000058.1_5	SP	310
GCA_035429725.1|DAOMFI010000060.1_6	SP	336
GCA_035433445.1|DAORUY010000242.1_3	SP	294
GCA_035434405.1|DAORWU010000016.1_75	SP	286
GCA_035437965.1|DAOMZC010000184.1_4	LIPO	301
GCA_035437985.1|DAOMZH010000001.1_48	LIPO	457
GCA_035439005.1|DAORJJ010000048.1_15	LIPO	356
GCA_035439005.1|DAORJJ010000174.1_11	LIPO	329
GCA_035439365.1|DAORKB010000130.1_7	LIPO	375
GCA_035439445.1|DAORKG010000018.1_37	SP	379
GCA_035439445.1|DAORKG010000019.1_39	SP	408
GCA_035439505.1|DAORKJ010000178.1_3	SP	333
GCA_035440755.1|DAORND010000018.1_7	LIPO	343
GCA_035440755.1|DAORND010000079.1_1	SP	267
GCA_035441065.1|DAORNP010000115.1_3	SP	327
GCA_035442025.1|DAORPQ010000117.1_2	LIPO	510
GCA_035444285.1|DAOMOK010000010.1_157	SP	321
GCA_035444805.1|DAOMPM010000078.1_6	SP	321
GCA_035445045.1|DAOMPZ010000190.1_4	SP	380
GCA_035445405.1|DAOMQQ010000322.1_2	LIPO	375
GCA_035448545.1|DAOTJE010000028.1_32	SP	467
GCA_035450225.1|DAOTMJ010000003.1_30	SP	315
GCA_035455205.1|DATIFM010000029.1_16	LIPO	347
GCA_035455265.1|DATIFK010000102.1_7	LIPO	290
GCA_035455265.1|DATIFK010000167.1_4	LIPO	333
GCA_035455385.1|DATIFD010000374.1_4	LIPO	320
GCA_035455565.1|DATIEU010000273.1_9	SP	339
GCA_035455665.1|DATIEQ010000296.1_2	SP	307
GCA_035455825.1|DATIEJ010000553.1_3	SP	304
GCA_035455905.1|DATIEH010000074.1_12	SP	331
GCA_035456045.1|DATIDZ010000113.1_8	SP	302
GCA_035456405.1|DATIDG010000075.1_45	SP	346
GCA_035456865.1|DATICK010000121.1_2	SP	330
GCA_035456885.1|DATICH010000222.1_3	SP	357
GCA_035457045.1|DATICC010000536.1_1	LIPO	329
GCA_035458325.1|DATHZY010000511.1_6	SP	379
GCA_035458765.1|DATHZE010000248.1_14	LIPO	321
GCA_035459605.1|DATHXP010000055.1_3	SP	368
GCA_035461765.1|DATHUY010000142.1_20	SP	306
GCA_035462205.1|DATHUN010000677.1_4	LIPO	287
GCA_035464115.1|DATHSN010000461.1_4	LIPO	332
GCA_035465295.1|DATHRM010000185.1_16	LIPO	349
GCA_035465395.1|DATHRK010000038.1_7	LIPO	322
GCA_035465695.1|DATIVR010000017.1_4	SP	304
GCA_035466375.1|DATIVB010000433.1_19	SP	334
GCA_035466435.1|DATIUW010000259.1_18	SP	314
GCA_035467535.1|DATITS010000078.1_8	SP	331
GCA_035467535.1|DATITS010000214.1_20	LIPO	326
GCA_035468285.1|DATISY010000067.1_1	SP	309
GCA_035469005.1|DATISD010000007.1_2	SP	331
GCA_035470225.1|DATIRA010000409.1_1	LIPO	333
GCA_035470745.1|DATIQO010000120.1_12	SP	333
GCA_035471825.1|DATIPP010000115.1_4	SP	288
GCA_035471965.1|DATIPL010000278.1_10	SP	401
GCA_035472155.1|DATIPJ010000401.1_10	SP	385
GCA_035473355.1|DATIOJ010000088.1_58	LIPO	294
GCA_035473575.1|DATIOA010000064.1_27	SP	341
GCA_035474295.1|DATINL010000025.1_8	SP	313
GCA_035474375.1|DATINJ010000205.1_6	LIPO	302
GCA_035474555.1|DATING010000663.1_2	LIPO	337
GCA_035476635.1|DATILI010000199.1_3	SP	354
GCA_035476855.1|DATILC010000014.1_6	SP	354
GCA_035476855.1|DATILC010000357.1_2	LIPO	301
GCA_035482215.1|DATHQY010000533.1_3	LIPO	305
GCA_035482595.1|DATHQQ010000110.1_6	SP	304
GCA_035484155.1|DATHPF010000131.1_23	LIPO	338
GCA_035484495.1|DATHOW010000125.1_13	SP	486
GCA_035485295.1|DATHOD010000029.1_26	SP	490
GCA_035485295.1|DATHOD010000133.1_13	SP	323
GCA_035485475.1|DATHOA010000074.1_8	SP	341
GCA_035485695.1|DATHNU010001158.1_9	SP	381
GCA_035486275.1|DATHNG010000114.1_15	SP	498
GCA_035486275.1|DATHNG010000188.1_8	SP	328
GCA_035486535.1|DATHMY010000018.1_18	LIPO	473
GCA_035487295.1|DATHMH010000012.1_70	LIPO	337
GCA_035487675.1|DATHLW010000627.1_6	SP	302
GCA_035488115.1|DATHLN010000098.1_11	SP	319
GCA_035488195.1|DATHLL010000301.1_3	LIPO	391
GCA_035489015.1|DATHKR010000290.1_95	LIPO	596
GCA_035489505.1|DATHKF010000107.1_4	SP	382
GCA_035489695.1|DATHJP010000784.1_2	SP	341
GCA_035489875.1|DATHJG010000515.1_9	SP	327
GCA_035490095.1|DATHHQ010000339.1_6	LIPO	381
GCA_035492155.1|DATJJL010000217.1_6	SP	341
GCA_035492155.1|DATJJL010000491.1_2	SP	353
GCA_035492275.1|DATJJI010000010.1_1	SP	298
GCA_035492395.1|DATJJH010000126.1_24	SP	356
GCA_035492545.1|DATJJD010000170.1_16	LIPO	309
GCA_035492595.1|DATJJA010000001.1_2	LIPO	307
